index,plant_id,tray_id,row,column,LFW_g,LDW_g,LA_mm2
1,23,1,3,1,10.95,0.7468,186.02
2,25,1,3,3,9.7,0.7009,170.76
3,27,1,3,5,9.2,0.6546,166.3
4,29,1,3,7,15.06,0.9418,242.22
5,31,1,3,9,12.86,0.8325,219.22
6,33,1,3,11,15.27,0.9221,243.37
7,35,1,4,2,11.26,0.6881,191.28
8,37,1,4,4,15.29,0.9474,243.64
9,39,1,4,6,12.11,0.8068,191.97
10,41,1,4,8,14.64,0.9157,214.12
11,43,1,4,10,6.3,0.413,114.43
12,45,1,5,1,11.32,0.7483,188.9
13,47,1,5,3,8.74,0.5723,146.31
14,49,1,5,5,9.59,0.6333,164.26
15,51,1,5,7,3.95,0.2926,77.66
16,53,1,5,9,1.82,0.1284,38.38
17,55,1,5,11,8.66,0.6199,142.66
18,23,2,3,1,12.3,0.7852,200.77
19,25,2,3,3,12.4,0.7962,197.9
20,27,2,3,5,10.47,0.6847,176.43
21,29,2,3,7,8.98,0.593,155.7
22,31,2,3,9,9.6,0.6667,165.21
23,33,2,3,11,13.69,0.8842,226.82
24,35,2,4,2,14.39,0.9167,234.15
25,37,2,4,4,13.44,0.9128,221.31
26,39,2,4,6,13.76,0.8857,217.13
27,41,2,4,8,13.33,0.8354,221.82
28,43,2,4,10,6.82,0.4493,122.13
29,45,2,5,1,12.42,0.7724,203.18
30,47,2,5,3,6.76,0.4407,117.64
31,49,2,5,5,10.29,0.6868,170.04
32,51,2,5,7,5.54,0.3775,99.91
33,53,2,5,9,16.44,0.9742,249.42
34,55,2,5,11,9.46,0.6162,157.53
35,23,3,3,1,12.24,0.7598,199.62
36,25,3,3,3,8.75,0.5843,150.74
37,27,3,3,5,15.56,1.0004,250.71
38,29,3,3,7,18.81,1.1586,297.95
39,31,3,3,9,9.89,0.5414,131.13
40,33,3,3,11,19.94,1.3621,332.69
41,35,3,4,2,11.04,0.7066,183.68
42,37,3,4,4,9.87,0.622,161.81
43,39,3,4,6,9.98,0.5969,152.87
44,41,3,4,8,4.92,0.3534,96.15
45,43,3,4,10,5.49,0.3678,102.13
46,45,3,5,1,6.23,0.4358,114.75
47,47,3,5,3,7.21,0.4694,129.84
48,49,3,5,5,6.5,0.4248,111.14
49,51,3,5,7,6.22,0.4548,107.41
50,53,3,5,9,3.27,0.2205,66.98
51,55,3,5,11,7.94,0.5282,143.22
