date,index,plant_id,tray_id,row,column,LFW_g,LDW_g,LA_g,length_mm,width_mm,height_mm,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_convex_hull_vertices,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity
02/02/2023,1,1,1,1,1,1.3,0.078,31.95,43.07,51.99,5.8,1211,1456,0.831730769,189.92388,49,42,346,,,,,
02/02/2023,2,3,1,1,3,2.1,0.148,44.1,52.71,57.06,5.5,1412,1556.5,0.907163508,181.3380935,56,41,387,,,,,
02/02/2023,3,5,1,1,5,3.36,0.196,67.61,72.92,64.96,8.9,1323,1766.5,0.748938579,225.4802289,49,54,332,,,,,
02/02/2023,4,7,1,1,7,3.07,0.184,66.98,58.18,75.92,7.5,1621,1787,0.907106883,195.5807341,44,59,395,,,,,
02/02/2023,5,9,1,1,9,3.17,0.187,68.74,71.82,79.79,7.1,1919,2372,0.809021922,263.4213538,62,58,453,,,,,
02/02/2023,6,11,1,1,11,1.82,0.115,40.97,76.04,63.06,5.8,1150,2053.5,0.560019479,272.4507914,76,43,499,,,,,
02/02/2023,7,13,1,2,2,3.12,0.181,70.73,64.48,75.12,7.3,1772,2174,0.815087397,238.7939372,68,51,468,,,,,
02/02/2023,8,15,1,2,4,1.38,0.085,34.26,52.82,66.61,4.5,893,1052,0.848859316,155.2964634,41,39,277,,,,,
02/02/2023,9,17,1,2,6,2.03,0.119,45.79,54.47,66.23,5.9,868,936,0.927350427,139.2964634,36,38,263,,,,,
02/02/2023,10,19,1,2,8,2.15,0.126,49.27,68.15,56.41,6.4,1080,1283.5,0.841449162,177.3380935,49,36,335,,,,,
02/02/2023,11,21,1,2,10,3.54,0.207,75.11,80.51,75.16,7.4,2386,3118.5,0.765111432,296.1492757,79,55,563,,,,,
02/02/2023,12,1,2,1,1,2.02,0.138,46.01,71.94,73.57,5,2068,2562,0.807181889,242.4507914,69,55,496,,,,,
02/02/2023,13,3,2,1,3,1.19,0.093,31.23,53.34,60.5,3.2,1276,1399,0.912080057,160.7106769,49,43,395,,,,,
02/02/2023,14,5,2,1,5,3.66,0.209,75.89,74.71,72.23,6.3,2102,2395,0.877661795,230.0660154,62,58,412,,,,,
02/02/2023,15,7,2,1,7,1.47,0.11,35.17,67.7,56.77,3.8,1585,1694.5,0.935379168,171.0954529,49,46,366,,,,,
02/02/2023,16,9,2,1,9,2.46,0.149,55.31,63.86,64.76,6.3,1447,1877.5,0.770705726,249.6223643,56,46,388,,,,,
02/02/2023,17,11,2,1,11,1.79,0.112,44.05,70.12,66.19,7.3,1726,2079.5,0.830007213,246.7939372,72,47,511,,,,,
02/02/2023,18,13,2,2,2,2.23,0.138,49.23,72.87,66.13,6.8,1990,2249,0.884837706,221.2375883,75,42,511,,,,,
02/02/2023,19,15,2,2,4,2.54,0.151,54.29,58.26,66.93,7.1,1718,1817,0.945514584,184.4091612,54,51,375,,,,,
02/02/2023,20,17,2,2,6,3.7,0.208,74.91,67.22,73.03,6.9,1562,1701.5,0.918013517,196.9949477,46,56,371,,,,,
02/02/2023,21,19,2,2,8,3,0.175,63.31,66.67,67.32,7.1,1301,1627,0.799631223,204.9949477,51,45,405,,,,,
02/02/2023,22,21,2,2,10,2.14,0.125,47.36,57.78,71.33,6.2,1743,2112.5,0.825088757,239.0365778,63,50,414,,,,,
02/02/2023,23,1,3,1,1,3.3,0.198,69.12,74.34,72.83,7,2788,3235.5,0.86169062,280.8355674,80,53,593,,,,,
02/02/2023,24,3,3,1,3,2.29,0.142,51.52,63.11,64.84,6.2,1622,1771.5,0.915608242,179.92388,57,46,404,,,,,
02/02/2023,25,5,3,1,5,2.44,0.144,55.33,76.57,68.17,6.6,1649,1802.5,0.914840499,214.8944424,56,46,380,,,,,
02/02/2023,26,7,3,1,7,3.23,0.186,67.89,62.82,72.78,6.5,1550,1698.5,0.912569915,177.7817446,50,48,401,,,,,
02/02/2023,27,9,3,1,9,2.64,0.161,59.4,68.69,70.71,6.8,1665,2375,0.701052632,323.7056246,69,56,478,,,,,
02/02/2023,28,11,3,1,11,3.46,0.203,72.98,70.49,90.24,7.2,2773,3580,0.774581006,316.1909058,81,65,537,,,,,
02/02/2023,29,13,3,2,2,2.91,0.17,61.77,67.85,71.81,7.1,2133,2415.5,0.883046988,243.8650049,66,52,468,,,,,
02/02/2023,30,15,3,2,4,3.34,0.195,71.62,68.52,73.44,7.1,1846,2061,0.895681708,222.1665206,60,50,417,,,,,
02/02/2023,31,17,3,2,6,2.51,0.153,55.55,69.05,72.57,6.8,1368,1506.5,0.908065051,178.0243852,45,50,358,,,,,
02/02/2023,32,19,3,2,8,2.58,0.156,57.08,70.42,77.3,6.2,1375,1649,0.83383869,213.7228695,53,48,350,,,,,
02/02/2023,33,21,3,2,10,3.69,0.219,76.15,76.99,85.65,7.7,2455,3470,0.707492795,334.5340517,84,63,573,,,,,
09/02/2023,1,23,1,3,1,10.95,0.7468,186.02,114.81,99.14,9.3,6770,8036.5,0.84240652,460.7178172,118,81,885,,,,,
09/02/2023,2,25,1,3,3,9.7,0.7009,170.76,93.78,116.16,9.7,5002,5721.5,0.874246264,347.9482652,98,87,714,,,,,
09/02/2023,3,27,1,3,5,9.2,0.6546,166.3,118.7,97.25,9.2,4288,4868,0.88085456,326.8355674,91,80,639,,,,,
09/02/2023,4,29,1,3,7,15.06,0.9418,242.22,135.9,118.77,9.8,5554,6336.5,0.876509114,364.6345569,100,93,695,,,,,
09/02/2023,5,31,1,3,9,12.86,0.8325,219.22,103.4,129.55,9.9,4946,6063,0.815767772,387.8893901,88,98,623,,,,,
09/02/2023,6,33,1,3,11,15.27,0.9221,243.37,126.14,120.48,10.4,6748,8477,0.796036334,540.7005723,122,93,878,,,,,
09/02/2023,7,35,1,4,2,11.26,0.6881,191.28,109.1,103.33,9.5,5255,6161.5,0.852876735,350.7350621,110,85,783,,,,,
09/02/2023,8,37,1,4,4,15.29,0.9474,243.64,127.91,122.33,10.2,6172,6902,0.894233555,370.8771975,105,96,713,,,,,
09/02/2023,9,39,1,4,6,12.11,0.8068,191.97,119.28,111.15,9.5,5293,6153.5,0.860160884,394.5756818,90,88,676,,,,,
09/02/2023,10,41,1,4,8,14.64,0.9157,214.12,120.91,123.2,10.1,5435,7078.5,0.767818041,453.6883796,100,103,751,,,,,
09/02/2023,11,43,1,4,10,6.3,0.413,114.43,113.86,83.3,9.9,3388,4247,0.797739581,354.5929267,92,68,595,,,,,
09/02/2023,12,45,1,5,1,11.32,0.7483,188.9,130.33,136.29,11.4,7485,9803.5,0.763502831,547.5289993,117,109,971,,,,,
09/02/2023,13,47,1,5,3,8.74,0.5723,146.31,95.83,99.04,9.3,4184,5088,0.822327044,337.3208486,93,88,624,,,,,
09/02/2023,14,49,1,5,5,9.59,0.6333,164.26,108.61,106.21,9.5,4505,5067.5,0.88899852,307.4213538,80,84,595,,,,,
09/02/2023,15,51,1,5,7,3.95,0.2926,77.66,69.32,89.05,7.6,2065,2437.5,0.847179487,273.2792184,51,72,523,,,,,
09/02/2023,16,53,1,5,9,1.82,0.1284,38.38,60.26,58.43,6.3,1208,1483,0.814565071,191.2375883,48,54,399,,,,,
09/02/2023,17,55,1,5,11,8.66,0.6199,142.66,110.68,101.32,9.1,4720,5868.5,0.804294113,460.9604578,115,72,772,,,,,
09/02/2023,18,23,2,3,1,12.3,0.7852,200.77,113.21,99.98,10.1,6218,7437,0.836089821,443.3036036,142,81,1014,,,,,
09/02/2023,19,25,2,3,3,12.4,0.7962,197.9,106.24,122.92,8.8,5497,6175.5,0.890130354,345.3208486,101,89,645,,,,,
09/02/2023,20,27,2,3,5,10.47,0.6847,176.43,95.6,115.18,8.6,4500,4824.5,0.932739144,294.5929267,73,89,611,,,,,
09/02/2023,21,29,2,3,7,8.98,0.593,155.7,105.39,100,8.9,3431,3805.5,0.901589804,272.5929267,74,73,552,,,,,
09/02/2023,22,31,2,3,9,9.6,0.6667,165.21,100.4,121.73,9.4,4636,5892.5,0.786762834,393.462984,96,91,749,,,,,
09/02/2023,23,33,2,3,11,13.69,0.8842,226.82,131.06,127.59,10,8050,10301.5,0.781439596,606.7005723,158,106,1100,,,,,
09/02/2023,24,35,2,4,2,14.39,0.9167,234.15,125.63,128.63,9.6,6990,8120.5,0.860784434,426.9604578,118,93,858,,,,,
09/02/2023,25,37,2,4,4,13.44,0.9128,221.31,122.62,110.57,9.2,5796,6629,0.874340021,371.3624787,104,85,770,,,,,
09/02/2023,26,39,2,4,6,13.76,0.8857,217.13,128.71,118.9,9.9,5346,6360,0.840566038,383.9898953,96,93,690,,,,,
09/02/2023,27,41,2,4,8,13.33,0.8354,221.82,124.35,113.51,9.4,4741,5932,0.799224545,378.4335464,89,83,701,,,,,
