,height_mm,perimeter,area
0,2.3,166.2670258283615,1075.5
1,1.3,164.36753106117249,1281.0
2,2.0,177.5807341337204,1441.5
3,1.7,166.85281229019165,1480.0
4,1.6,164.56854152679443,1425.0
5,1.6,181.68123936653137,1664.0
6,2.4,165.4385987520218,1410.5
7,2.3,200.75230705738068,1699.5
8,2.8,201.92387998104095,1609.5
9,3.3,223.13708305358887,1621.0
10,1.9,198.46803629398346,1175.5
11,2.9,230.55129659175873,1854.5
12,2.4,223.92387998104095,1495.5
13,2.8,255.9655101299286,2270.0
14,1.4,128.81118214130402,899.5
15,1.5,167.53910398483276,1264.0
16,0.8,116.32590091228485,802.5
17,2.6,223.722869515419,2034.5
18,1.7,137.9827550649643,953.5
19,2.1,183.1959581375122,1772.0
20,4.0,236.99494767189026,2174.0
21,3.2,260.30865597724915,1892.0
22,3.4,241.23758828639984,1733.5
23,2.5,182.99494767189026,1454.0
24,2.0,162.36753106117249,1276.0
25,1.7,151.53910398483276,1185.0
26,0.8,168.02438521385193,932.0
27,0.7,126.91168737411499,888.0
28,1.2,156.71067690849304,1399.0
29,2.0,168.02438521385193,878.0
30,2.9,201.92387998104095,1591.5
31,2.4,244.06601536273956,1480.5
32,2.8,250.69343197345734,1931.5
33,2.9,205.33809351921082,1668.0
34,2.3,189.92387998104095,1540.5
35,1.9,160.36753106117249,1247.0
36,2.1,151.78174459934235,1432.5
37,1.8,160.71067690849304,1116.0
38,1.9,172.02438521385193,1163.0
39,1.6,135.63960921764374,940.5
40,2.9,167.4385987520218,1452.5
41,1.4,160.95331752300262,1106.5
42,1.7,162.61017167568207,822.5
43,3.7,285.90663504600525,1691.0
44,3.2,236.06601536273956,2274.5
45,1.5,136.22539567947388,841.0
46,1.5,158.36753106117249,1050.0
47,1.6,165.33809351921082,1001.0
48,1.7,151.29646337032318,1115.5
49,2.0,107.49747383594513,593.5
50,1.0,99.94112491607666,585.0
51,1.6,131.1959581375122,856.0
52,0.6,92.66904675960541,479.5
53,2.1,145.88224983215332,977.0
54,2.9,198.16652059555054,1486.0
