,height_mm,perimeter,area
0,11.3,715.168608546257,23532.5
1,14.2,775.8376553058624,28660.0
2,13.8,731.5533845424652,26317.0
3,15.0,778.2224313020706,29221.5
4,13.3,806.5483322143555,32009.0
5,17.0,812.7493426799774,30014.0
6,14.6,825.2346239089966,34018.0
7,12.3,654.5411919355392,22893.5
8,14.5,831.8376553058624,28204.0
9,15.0,774.4650719165802,29140.0
10,15.3,850.3229365348816,33441.0
11,15.3,738.3818116188049,28746.0
12,12.0,695.369619011879,22712.5
13,10.5,617.0853482484818,18928.5
14,11.8,744.180801153183,20432.0
15,15.4,843.8204103708267,28011.5
16,16.1,767.5533845424652,29375.0
17,13.9,702.7249574661255,24083.0
18,11.2,659.6955199241638,21133.0
19,12.3,659.5117543935776,20576.5
20,13.3,707.6538897752762,21868.5
21,15.4,871.5361396074295,31184.5
22,10.9,642.9259679317474,19728.0
23,9.4,731.8376553058624,23627.0
24,10.0,642.2396762371063,19490.0
25,12.5,689.9381605386734,21043.5
26,10.6,713.8965303897858,19348.0
