sample,trait,value,label
plant0,in_bounds,1,none
plant0,area,546.0,pixels
plant0,convex_hull_area,1049.5,pixels
plant0,solidity,0.5202477370176274,none
plant0,perimeter,137.63960921764374,pixels
plant0,width,38,pixels
plant0,height,37,pixels
plant0,longest_path,285,pixels
plant0,center_of_mass,113.68681318681318,x
plant0,center_of_mass,149.13003663003664,y
plant0,convex_hull_vertices,19,none
plant0,object_in_frame,1,none
plant0,ellipse_center,114.26801300048828,x
plant0,ellipse_center,149.10765075683594,y
plant0,ellipse_major_axis,38.799827575683594,pixels
plant0,ellipse_minor_axis,32.90256118774414,pixels
plant0,ellipse_angle,127.86136627197266,degrees
plant0,ellipse_eccentricity,0.5299835496085982,none
plant1,in_bounds,1,none
plant1,area,2507.0,pixels
plant1,convex_hull_area,2912.5,pixels
plant1,solidity,0.8607725321888412,none
plant1,perimeter,268.7939372062683,pixels
plant1,width,69,pixels
plant1,height,64,pixels
plant1,longest_path,524,pixels
plant1,center_of_mass,264.8228958915038,x
plant1,center_of_mass,140.6924611088951,y
plant1,convex_hull_vertices,21,none
plant1,object_in_frame,1,none
plant1,ellipse_center,265.9673156738281,x
plant1,ellipse_center,141.0035858154297,y
plant1,ellipse_major_axis,73.35625457763672,pixels
plant1,ellipse_minor_axis,48.21977996826172,pixels
plant1,ellipse_angle,127.96809387207031,degrees
plant1,ellipse_eccentricity,0.7535967586518272,none
plant2,in_bounds,1,none
plant2,area,686.0,pixels
plant2,convex_hull_area,965.0,pixels
plant2,solidity,0.7108808290155441,none
plant2,perimeter,123.63960921764374,pixels
plant2,width,36,pixels
plant2,height,36,pixels
plant2,longest_path,257,pixels
plant2,center_of_mass,438.13119533527697,x
plant2,center_of_mass,152.72303206997086,y
plant2,convex_hull_vertices,22,none
plant2,object_in_frame,1,none
plant2,ellipse_center,438.50518798828125,x
plant2,ellipse_center,152.0558624267578,y
plant2,ellipse_major_axis,36.6513786315918,pixels
plant2,ellipse_minor_axis,32.57204818725586,pixels
plant2,ellipse_angle,136.5720977783203,degrees
plant2,ellipse_eccentricity,0.45849085264565337,none
plant3,in_bounds,1,none
plant3,area,3876.0,pixels
plant3,convex_hull_area,4235.5,pixels
plant3,solidity,0.9151221815606185,none
plant3,perimeter,305.0782079696655,pixels
plant3,width,71,pixels
plant3,height,78,pixels
plant3,longest_path,629,pixels
plant3,center_of_mass,581.5972652218783,x
plant3,center_of_mass,142.8031475748194,y
plant3,convex_hull_vertices,26,none
plant3,object_in_frame,1,none
plant3,ellipse_center,581.4720458984375,x
plant3,ellipse_center,143.44493103027344,y
plant3,ellipse_major_axis,76.41543579101562,pixels
plant3,ellipse_minor_axis,65.89556884765625,pixels
plant3,ellipse_angle,143.41258239746094,degrees
plant3,ellipse_eccentricity,0.5063412057939811,none
plant4,in_bounds,1,none
plant4,area,588.0,pixels
plant4,convex_hull_area,918.0,pixels
plant4,solidity,0.6405228758169934,none
plant4,perimeter,112.91168737411499,pixels
plant4,width,34,pixels
plant4,height,35,pixels
plant4,longest_path,242,pixels
plant4,center_of_mass,750.3027210884354,x
plant4,center_of_mass,152.68707482993196,y
plant4,convex_hull_vertices,23,none
plant4,object_in_frame,1,none
plant4,ellipse_center,750.5758666992188,x
plant4,ellipse_center,152.90956115722656,y
plant4,ellipse_major_axis,34.510093688964844,pixels
plant4,ellipse_minor_axis,33.281986236572266,pixels
plant4,ellipse_angle,162.36566162109375,degrees
plant4,ellipse_eccentricity,0.26440004479423174,none
plant5,in_bounds,1,none
plant5,area,4405.0,pixels
plant5,convex_hull_area,4724.0,pixels
plant5,solidity,0.9324724809483489,none
plant5,perimeter,294.0071402788162,pixels
plant5,width,73,pixels
plant5,height,95,pixels
plant5,longest_path,685,pixels
plant5,center_of_mass,908.1366628830874,x
plant5,center_of_mass,137.1684449489217,y
plant5,convex_hull_vertices,25,none
plant5,object_in_frame,1,none
plant5,ellipse_center,907.9118041992188,x
plant5,ellipse_center,137.4057159423828,y
plant5,ellipse_major_axis,86.62858581542969,pixels
plant5,ellipse_minor_axis,66.54981994628906,pixels
plant5,ellipse_angle,7.387122631072998,degrees
plant5,ellipse_eccentricity,0.6401858278077042,none
plant6,in_bounds,1,none
plant6,area,648.0,pixels
plant6,convex_hull_area,925.5,pixels
plant6,solidity,0.700162074554295,none
plant6,perimeter,150.1248904466629,pixels
plant6,width,34,pixels
plant6,height,36,pixels
plant6,longest_path,250,pixels
plant6,center_of_mass,1055.7854938271605,x
plant6,center_of_mass,150.24537037037038,y
plant6,convex_hull_vertices,22,none
plant6,object_in_frame,1,none
