sample,trait,value,label
plant0,in_bounds,1,none
plant0,area,1663.0,pixels
plant0,convex_hull_area,1837.5,pixels
plant0,solidity,0.9050340136054422,none
plant0,perimeter,198.5096664428711,pixels
plant0,width,54,pixels
plant0,height,45,pixels
plant0,longest_path,359,pixels
plant0,center_of_mass,122.67648827420325,x
plant0,center_of_mass,120.66145520144318,y
plant0,convex_hull_vertices,19,none
plant0,object_in_frame,1,none
plant0,ellipse_center,122.4978256225586,x
plant0,ellipse_center,120.35987854003906,y
plant0,ellipse_major_axis,54.44919204711914,pixels
plant0,ellipse_minor_axis,41.01167297363281,pixels
plant0,ellipse_angle,109.03213500976562,degrees
plant0,ellipse_eccentricity,0.65778018974363,none
plant1,in_bounds,1,none
plant1,area,1441.0,pixels
plant1,convex_hull_area,1536.5,pixels
plant1,solidity,0.9378457533355028,none
plant1,perimeter,162.1248904466629,pixels
plant1,width,45,pixels
plant1,height,48,pixels
plant1,longest_path,337,pixels
plant1,center_of_mass,292.46356696738377,x
plant1,center_of_mass,126.1027064538515,y
plant1,convex_hull_vertices,16,none
plant1,object_in_frame,1,none
plant1,ellipse_center,292.1233825683594,x
plant1,ellipse_center,126.13890838623047,y
plant1,ellipse_major_axis,46.170597076416016,pixels
plant1,ellipse_minor_axis,40.59894943237305,pixels
plant1,ellipse_angle,30.15242576599121,degrees
plant1,ellipse_eccentricity,0.47622259222309543,none
plant2,in_bounds,1,none
plant2,area,1867.0,pixels
plant2,convex_hull_area,1975.0,pixels
plant2,solidity,0.9453164556962025,none
plant2,perimeter,182.61017167568207,pixels
plant2,width,59,pixels
plant2,height,49,pixels
plant2,longest_path,388,pixels
plant2,center_of_mass,444.9828602035351,x
plant2,center_of_mass,127.72629887520085,y
plant2,convex_hull_vertices,17,none
plant2,object_in_frame,1,none
plant2,ellipse_center,444.9450378417969,x
plant2,ellipse_center,127.36438751220703,y
plant2,ellipse_major_axis,57.13530731201172,pixels
plant2,ellipse_minor_axis,44.471214294433594,pixels
plant2,ellipse_angle,106.64274597167969,degrees
plant2,ellipse_eccentricity,0.6278317437189698,none
plant3,in_bounds,1,none
plant3,area,1797.0,pixels
plant3,convex_hull_area,1844.5,pixels
plant3,solidity,0.9742477636215776,none
plant3,perimeter,173.09545290470123,pixels
plant3,width,53,pixels
plant3,height,53,pixels
plant3,longest_path,381,pixels
plant3,center_of_mass,605.5319977740679,x
plant3,center_of_mass,132.01669449081803,y
plant3,convex_hull_vertices,22,none
plant3,object_in_frame,1,none
plant3,ellipse_center,605.2959594726562,x
plant3,ellipse_center,131.7613067626953,y
plant3,ellipse_major_axis,57.51935958862305,pixels
plant3,ellipse_minor_axis,39.51066589355469,pixels
plant3,ellipse_angle,131.56788635253906,degrees
plant3,ellipse_eccentricity,0.7267417935247857,none
plant4,in_bounds,1,none
plant4,area,1920.0,pixels
plant4,convex_hull_area,2100.0,pixels
plant4,solidity,0.9142857142857143,none
plant4,perimeter,199.09545290470123,pixels
plant4,width,55,pixels
plant4,height,53,pixels
plant4,longest_path,385,pixels
plant4,center_of_mass,765.3604166666667,x
plant4,center_of_mass,135.48489583333333,y
plant4,convex_hull_vertices,22,none
plant4,object_in_frame,1,none
plant4,ellipse_center,765.4026489257812,x
plant4,ellipse_center,135.34158325195312,y
plant4,ellipse_major_axis,54.04613494873047,pixels
plant4,ellipse_minor_axis,45.6746826171875,pixels
plant4,ellipse_angle,110.1455078125,degrees
plant4,ellipse_eccentricity,0.5345996600268109,none
plant5,in_bounds,1,none
plant5,area,2224.0,pixels
plant5,convex_hull_area,2306.0,pixels
plant5,solidity,0.9644405897658282,none
plant5,perimeter,199.23758828639984,pixels
plant5,width,57,pixels
plant5,height,59,pixels
plant5,longest_path,406,pixels
plant5,center_of_mass,917.5301258992806,x
plant5,center_of_mass,136.38309352517985,y
plant5,convex_hull_vertices,22,none
plant5,object_in_frame,1,none
plant5,ellipse_center,917.7842407226562,x
plant5,ellipse_center,136.27801513671875,y
plant5,ellipse_major_axis,58.10956954956055,pixels
plant5,ellipse_minor_axis,53.428123474121094,pixels
plant5,ellipse_angle,164.66087341308594,degrees
plant5,ellipse_eccentricity,0.3932359214039016,none
plant6,in_bounds,1,none
plant6,area,1787.0,pixels
plant6,convex_hull_area,1789.5,pixels
plant6,solidity,0.9986029617211511,none
plant6,perimeter,169.1959581375122,pixels
plant6,width,42,pixels
plant6,height,58,pixels
plant6,longest_path,393,pixels
plant6,center_of_mass,1075.3905987688863,x
plant6,center_of_mass,141.1628427532177,y
plant6,convex_hull_vertices,23,none
plant6,object_in_frame,1,none
plant6,ellipse_center,1075.1923828125,x
plant6,ellipse_center,141.2606964111328,y
plant6,ellipse_major_axis,58.00346755981445,pixels
plant6,ellipse_minor_axis,39.49673843383789,pixels
plant6,ellipse_angle,14.103801727294922,degrees
plant6,ellipse_eccentricity,0.7323414971485032,none
plant7,in_bounds,1,none
plant7,area,2413.0,pixels
plant7,convex_hull_area,2597.0,pixels
plant7,solidity,0.9291490180978051,none
plant7,perimeter,236.89444243907928,pixels
plant7,width,60,pixels
plant7,height,58,pixels
plant7,longest_path,447,pixels
plant7,center_of_mass,1235.3170327393286,x
plant7,center_of_mass,142.68130957314546,y
plant7,convex_hull_vertices,22,none
plant7,object_in_frame,1,none
plant7,ellipse_center,1235.25634765625,x
plant7,ellipse_center,142.30239868164062,y
plant7,ellipse_major_axis,63.22393798828125,pixels
plant7,ellipse_minor_axis,51.43744659423828,pixels
plant7,ellipse_angle,32.594947814941406,degrees
plant7,ellipse_eccentricity,0.5814592980022836,none
plant8,in_bounds,1,none
plant8,area,2117.0,pixels
plant8,convex_hull_area,2264.0,pixels
plant8,solidity,0.9350706713780919,none
plant8,perimeter,215.48022890090942,pixels
plant8,width,61,pixels
plant8,height,56,pixels
plant8,longest_path,398,pixels
plant8,center_of_mass,1392.960793575815,x
plant8,center_of_mass,139.4860651865848,y
plant8,convex_hull_vertices,19,none
plant8,object_in_frame,1,none
plant8,ellipse_center,1393.4443359375,x
plant8,ellipse_center,138.80030822753906,y
plant8,ellipse_major_axis,58.21559143066406,pixels
plant8,ellipse_minor_axis,50.015987396240234,pixels
plant8,ellipse_angle,57.45674514770508,degrees
plant8,ellipse_eccentricity,0.5117220407107153,none
plant9,in_bounds,1,none
plant9,area,2479.0,pixels
plant9,convex_hull_area,3012.5,pixels
plant9,solidity,0.8229045643153527,none
plant9,perimeter,423.9403966665268,pixels
plant9,width,85,pixels
plant9,height,51,pixels
plant9,longest_path,570,pixels
plant9,center_of_mass,1560.753933037515,x
plant9,center_of_mass,140.37878176684146,y
plant9,convex_hull_vertices,19,none
plant9,object_in_frame,1,none
plant9,ellipse_center,1559.5853271484375,x
plant9,ellipse_center,140.4140625,y
plant9,ellipse_major_axis,81.57135009765625,pixels
plant9,ellipse_minor_axis,41.265525817871094,pixels
plant9,ellipse_angle,76.8872299194336,degrees
plant9,ellipse_eccentricity,0.862602345013445,none
plant10,in_bounds,1,none
plant10,area,2502.0,pixels
plant10,convex_hull_area,2867.0,pixels
plant10,solidity,0.872689222183467,none
plant10,perimeter,254.55129659175873,pixels
plant10,width,81,pixels
plant10,height,49,pixels
plant10,longest_path,514,pixels
plant10,center_of_mass,1714.062350119904,x
plant10,center_of_mass,146.1374900079936,y
plant10,convex_hull_vertices,22,none
plant10,object_in_frame,1,none
plant10,ellipse_center,1712.16748046875,x
plant10,ellipse_center,146.55670166015625,y
plant10,ellipse_major_axis,78.36641693115234,pixels
plant10,ellipse_minor_axis,45.00217819213867,pixels
plant10,ellipse_angle,98.38072204589844,degrees
plant10,ellipse_eccentricity,0.8186776405523624,none
plant11,in_bounds,1,none
plant11,area,2416.0,pixels
plant11,convex_hull_area,2583.0,pixels
plant11,solidity,0.9353464963221061,none
plant11,perimeter,223.5807341337204,pixels
plant11,width,63,pixels
plant11,height,52,pixels
plant11,longest_path,466,pixels
plant11,center_of_mass,123.08774834437087,x
plant11,center_of_mass,275.17259933774835,y
plant11,convex_hull_vertices,21,none
plant11,object_in_frame,1,none
plant11,ellipse_center,123.04866027832031,x
