sample,trait,value,label
plant0,in_bounds,1,none
plant0,area,1730.0,pixels
plant0,convex_hull_area,1847.0,pixels
plant0,solidity,0.9366540335679481,none
plant0,perimeter,191.4385987520218,pixels
plant0,width,57,pixels
plant0,height,42,pixels
plant0,longest_path,395,pixels
plant0,center_of_mass,123.18612716763006,x
plant0,center_of_mass,130.3479768786127,y
plant0,convex_hull_vertices,20,none
plant0,object_in_frame,1,none
plant0,ellipse_center,123.1224136352539,x
plant0,ellipse_center,130.2059326171875,y
plant0,ellipse_major_axis,56.842124938964844,pixels
plant0,ellipse_minor_axis,39.33439636230469,pixels
plant0,ellipse_angle,102.25305938720703,degrees
plant0,ellipse_eccentricity,0.7219034710589106,none
plant1,in_bounds,1,none
plant1,area,1555.0,pixels
plant1,convex_hull_area,1613.5,pixels
plant1,solidity,0.9637434149364735,none
plant1,perimeter,184.5096664428711,pixels
plant1,width,49,pixels
plant1,height,47,pixels
plant1,longest_path,346,pixels
plant1,center_of_mass,291.7569131832797,x
plant1,center_of_mass,135.8951768488746,y
plant1,convex_hull_vertices,21,none
plant1,object_in_frame,1,none
plant1,ellipse_center,291.304931640625,x
plant1,ellipse_center,135.94107055664062,y
plant1,ellipse_major_axis,46.762916564941406,pixels
plant1,ellipse_minor_axis,42.20376968383789,pixels
plant1,ellipse_angle,61.559295654296875,degrees
plant1,ellipse_eccentricity,0.43067921164058615,none
plant2,in_bounds,1,none
plant2,area,1885.0,pixels
plant2,convex_hull_area,2004.5,pixels
plant2,solidity,0.9403841356946869,none
plant2,perimeter,188.75230705738068,pixels
plant2,width,63,pixels
plant2,height,48,pixels
plant2,longest_path,425,pixels
plant2,center_of_mass,445.9607427055703,x
plant2,center_of_mass,139.38832891246685,y
plant2,convex_hull_vertices,22,none
plant2,object_in_frame,1,none
plant2,ellipse_center,445.86541748046875,x
plant2,ellipse_center,139.0131378173828,y
plant2,ellipse_major_axis,60.61971664428711,pixels
plant2,ellipse_minor_axis,42.58749008178711,pixels
plant2,ellipse_angle,106.51277160644531,degrees
plant2,ellipse_eccentricity,0.7116489087550819,none
plant3,in_bounds,1,none
plant3,area,1802.0,pixels
plant3,convex_hull_area,1851.0,pixels
plant3,solidity,0.9735278227984873,none
plant3,perimeter,173.78174459934235,pixels
plant3,width,52,pixels
plant3,height,51,pixels
plant3,longest_path,390,pixels
plant3,center_of_mass,604.7597114317425,x
plant3,center_of_mass,141.2891231964484,y
plant3,convex_hull_vertices,22,none
plant3,object_in_frame,1,none
plant3,ellipse_center,604.6551513671875,x
plant3,ellipse_center,141.07627868652344,y
plant3,ellipse_major_axis,55.018829345703125,pixels
plant3,ellipse_minor_axis,41.71324920654297,pixels
plant3,ellipse_angle,131.0244598388672,degrees
plant3,ellipse_eccentricity,0.6520648981152712,none
plant4,in_bounds,1,none
plant4,area,2058.0,pixels
plant4,convex_hull_area,2216.0,pixels
plant4,solidity,0.9287003610108303,none
plant4,perimeter,203.33809351921082,pixels
plant4,width,54,pixels
plant4,height,56,pixels
plant4,longest_path,385,pixels
plant4,center_of_mass,765.047619047619,x
plant4,center_of_mass,145.17103984450924,y
plant4,convex_hull_vertices,19,none
plant4,object_in_frame,1,none
plant4,ellipse_center,764.9156494140625,x
plant4,ellipse_center,145.1109161376953,y
plant4,ellipse_major_axis,54.536766052246094,pixels
plant4,ellipse_minor_axis,48.56227111816406,pixels
plant4,ellipse_angle,124.90406799316406,degrees
plant4,ellipse_eccentricity,0.45508080954609803,none
plant5,in_bounds,1,none
plant5,area,1987.0,pixels
plant5,convex_hull_area,2101.5,pixels
plant5,solidity,0.9455151082560076,none
plant5,perimeter,194.40916121006012,pixels
plant5,width,54,pixels
plant5,height,55,pixels
plant5,longest_path,387,pixels
plant5,center_of_mass,916.3110216406643,x
plant5,center_of_mass,147.980875691998,y
plant5,convex_hull_vertices,24,none
plant5,object_in_frame,1,none
plant5,ellipse_center,916.8707275390625,x
plant5,ellipse_center,147.9175262451172,y
plant5,ellipse_major_axis,55.37781524658203,pixels
plant5,ellipse_minor_axis,48.62636184692383,pixels
plant5,ellipse_angle,139.68569946289062,degrees
plant5,ellipse_eccentricity,0.47850690613686525,none
plant6,in_bounds,1,none
plant6,area,1743.0,pixels
plant6,convex_hull_area,1760.0,pixels
plant6,solidity,0.9903409090909091,none
plant6,perimeter,178.61017167568207,pixels
plant6,width,42,pixels
plant6,height,58,pixels
plant6,longest_path,409,pixels
plant6,center_of_mass,1074.1600688468159,x
plant6,center_of_mass,153.7194492254733,y
plant6,convex_hull_vertices,25,none
plant6,object_in_frame,1,none
plant6,ellipse_center,1073.7640380859375,x
plant6,ellipse_center,154.07606506347656,y
plant6,ellipse_major_axis,58.0722541809082,pixels
plant6,ellipse_minor_axis,39.226768493652344,pixels
plant6,ellipse_angle,17.272079467773438,degrees
plant6,ellipse_eccentricity,0.737376380069489,none
plant7,in_bounds,1,none
plant7,area,2168.0,pixels
plant7,convex_hull_area,2295.5,pixels
plant7,solidity,0.9444565454149423,none
plant7,perimeter,206.99494767189026,pixels
plant7,width,61,pixels
plant7,height,51,pixels
plant7,longest_path,474,pixels
plant7,center_of_mass,1234.7749077490776,x
plant7,center_of_mass,152.7421586715867,y
plant7,convex_hull_vertices,19,none
plant7,object_in_frame,1,none
plant7,ellipse_center,1234.977783203125,x
plant7,ellipse_center,152.57566833496094,y
plant7,ellipse_major_axis,60.013919830322266,pixels
plant7,ellipse_minor_axis,47.88276672363281,pixels
plant7,ellipse_angle,58.39624786376953,degrees
