sample,trait,value,label
plant0,in_bounds,1,none
plant0,area,940.0,pixels
plant0,convex_hull_area,1070.0,pixels
plant0,solidity,0.8785046728971962,none
plant0,perimeter,145.53910398483276,pixels
plant0,width,39,pixels
plant0,height,37,pixels
plant0,longest_path,284,pixels
plant0,center_of_mass,106.6531914893617,x
plant0,center_of_mass,144.7127659574468,y
plant0,convex_hull_vertices,20,none
plant0,object_in_frame,1,none
plant0,ellipse_center,106.66022491455078,x
plant0,ellipse_center,144.0929412841797,y
plant0,ellipse_major_axis,38.55866622924805,pixels
plant0,ellipse_minor_axis,33.428131103515625,pixels
plant0,ellipse_angle,119.95343017578125,degrees
plant0,ellipse_eccentricity,0.4984088622001026,none
plant1,in_bounds,1,none
plant1,area,3758.0,pixels
plant1,convex_hull_area,4248.5,pixels
plant1,solidity,0.8845474873484759,none
plant1,perimeter,288.3502861261368,pixels
plant1,width,74,pixels
plant1,height,78,pixels
plant1,longest_path,637,pixels
plant1,center_of_mass,252.6205428419372,x
plant1,center_of_mass,132.21367748802555,y
plant1,convex_hull_vertices,22,none
plant1,object_in_frame,1,none
plant1,ellipse_center,252.00729370117188,x
plant1,ellipse_center,131.45704650878906,y
plant1,ellipse_major_axis,82.49317932128906,pixels
plant1,ellipse_minor_axis,66.50697326660156,pixels
plant1,ellipse_angle,139.61544799804688,degrees
plant1,ellipse_eccentricity,0.5916270441550446,none
plant2,in_bounds,1,none
plant2,area,773.0,pixels
plant2,convex_hull_area,795.5,pixels
plant2,solidity,0.9717159019484601,none
plant2,perimeter,140.22539567947388,pixels
plant2,width,32,pixels
plant2,height,33,pixels
plant2,longest_path,218,pixels
plant2,center_of_mass,431.5640362225097,x
plant2,center_of_mass,146.1836998706339,y
plant2,convex_hull_vertices,19,none
plant2,object_in_frame,1,none
plant2,ellipse_center,431.60162353515625,x
plant2,ellipse_center,146.25035095214844,y
plant2,ellipse_major_axis,30.988927841186523,pixels
plant2,ellipse_minor_axis,30.475820541381836,pixels
plant2,ellipse_angle,133.40036010742188,degrees
plant2,ellipse_eccentricity,0.1812218668476251,none
plant3,in_bounds,1,none
plant3,area,6419.0,pixels
plant3,convex_hull_area,7085.0,pixels
plant3,solidity,0.9059985885673959,none
plant3,perimeter,383.8477599620819,pixels
plant3,width,94,pixels
plant3,height,103,pixels
plant3,longest_path,762,pixels
plant3,center_of_mass,572.5474372955289,x
plant3,center_of_mass,136.54728150802305,y
plant3,convex_hull_vertices,29,none
plant3,object_in_frame,1,none
plant3,ellipse_center,573.0167846679688,x
plant3,ellipse_center,136.8983154296875,y
plant3,ellipse_major_axis,101.50801849365234,pixels
plant3,ellipse_minor_axis,84.22172546386719,pixels
plant3,ellipse_angle,144.1490478515625,degrees
plant3,ellipse_eccentricity,0.5582019062086556,none
plant4,in_bounds,1,none
plant4,area,576.0,pixels
plant4,convex_hull_area,758.0,pixels
plant4,solidity,0.7598944591029023,none
plant4,perimeter,188.36753106117249,pixels
plant4,width,32,pixels
plant4,height,31,pixels
plant4,longest_path,227,pixels
plant4,center_of_mass,748.3940972222222,x
plant4,center_of_mass,147.86805555555554,y
plant4,convex_hull_vertices,14,none
plant4,object_in_frame,1,none
plant4,ellipse_center,747.7802124023438,x
plant4,ellipse_center,148.784912109375,y
plant4,ellipse_major_axis,29.93217658996582,pixels
plant4,ellipse_minor_axis,28.565935134887695,pixels
plant4,ellipse_angle,121.37584686279297,degrees
plant4,ellipse_eccentricity,0.298673268355496,none
plant5,in_bounds,1,none
plant5,area,5701.0,pixels
plant5,convex_hull_area,6830.5,pixels
plant5,solidity,0.8346387526535393,none
plant5,perimeter,362.4924215078354,pixels
plant5,width,84,pixels
plant5,height,117,pixels
plant5,longest_path,804,pixels
plant5,center_of_mass,905.2096123487107,x
plant5,center_of_mass,132.45991931240133,y
plant5,convex_hull_vertices,24,none
plant5,object_in_frame,1,none
plant5,ellipse_center,904.563232421875,x
plant5,ellipse_center,132.20994567871094,y
plant5,ellipse_major_axis,104.99024200439453,pixels
plant5,ellipse_minor_axis,77.26488494873047,pixels
plant5,ellipse_angle,1.0121283531188965,degrees
plant5,ellipse_eccentricity,0.6770636750454883,none
plant6,in_bounds,1,none
plant6,area,552.0,pixels
plant6,convex_hull_area,882.0,pixels
plant6,solidity,0.6258503401360545,none
plant6,perimeter,219.48022890090942,pixels
plant6,width,35,pixels
plant6,height,35,pixels
plant6,longest_path,238,pixels
plant6,center_of_mass,1054.2644927536232,x
plant6,center_of_mass,148.03804347826087,y
