sample,trait,value,label
plant1,in_bounds,1,none
plant1,area,24186.0,pixels
plant1,convex_hull_area,26775.5,pixels
plant1,solidity,0.9032884539971242,none
plant1,perimeter,722.0975408554077,pixels
plant1,width,199,pixels
plant1,height,185,pixels
plant1,longest_path,1364,pixels
plant1,center_of_mass,292.3045150086827,x
plant1,center_of_mass,142.59890019019267,y
plant1,convex_hull_vertices,33,none
plant1,object_in_frame,1,none
plant1,ellipse_center,292.5138854980469,x
plant1,ellipse_center,142.49595642089844,y
plant1,ellipse_major_axis,193.71949768066406,pixels
plant1,ellipse_minor_axis,163.86036682128906,pixels
plant1,ellipse_angle,124.79024505615234,degrees
plant1,ellipse_eccentricity,0.5333984809676572,none
plant3,in_bounds,1,none
plant3,area,29125.0,pixels
plant3,convex_hull_area,32440.5,pixels
plant3,solidity,0.8977975062036652,none
plant3,perimeter,776.3818116188049,pixels
plant3,width,211,pixels
plant3,height,216,pixels
plant3,longest_path,1506,pixels
plant3,center_of_mass,629.5156738197425,x
plant3,center_of_mass,144.5958798283262,y
plant3,convex_hull_vertices,40,none
plant3,object_in_frame,1,none
plant3,ellipse_center,629.0276489257812,x
plant3,ellipse_center,145.08676147460938,y
plant3,ellipse_major_axis,207.01808166503906,pixels
plant3,ellipse_minor_axis,187.57029724121094,pixels
plant3,ellipse_angle,140.84954833984375,degrees
plant3,ellipse_eccentricity,0.42315446844514865,none
plant5,in_bounds,1,none
plant5,area,26639.0,pixels
plant5,convex_hull_area,29398.5,pixels
plant5,solidity,0.9061346667346973,none
plant5,perimeter,724.5828220844269,pixels
plant5,width,176,pixels
plant5,height,221,pixels
plant5,longest_path,1527,pixels
plant5,center_of_mass,952.7591501182477,x
plant5,center_of_mass,139.15049363714854,y
plant5,convex_hull_vertices,36,none
plant5,object_in_frame,1,none
plant5,ellipse_center,953.1748046875,x
plant5,ellipse_center,139.00088500976562,y
plant5,ellipse_major_axis,209.23431396484375,pixels
plant5,ellipse_minor_axis,168.93380737304688,pixels
plant5,ellipse_angle,7.863267421722412,degrees
plant5,ellipse_eccentricity,0.5900173754259971,none
plant7,in_bounds,1,none
plant7,area,29934.0,pixels
plant7,convex_hull_area,32887.0,pixels
plant7,solidity,0.9102076808465351,none
plant7,perimeter,785.7960251569748,pixels
plant7,width,203,pixels
plant7,height,222,pixels
plant7,longest_path,1549,pixels
plant7,center_of_mass,1288.195229504911,x
plant7,center_of_mass,134.11672345827486,y
plant7,convex_hull_vertices,32,none
plant7,object_in_frame,1,none
plant7,ellipse_center,1288.5543212890625,x
plant7,ellipse_center,132.96856689453125,y
plant7,ellipse_major_axis,217.7777557373047,pixels
plant7,ellipse_minor_axis,182.5963592529297,pixels
plant7,ellipse_angle,24.407135009765625,degrees
plant7,ellipse_eccentricity,0.5449742909605337,none
plant8,in_bounds,1,none
plant8,area,29934.0,pixels
plant8,convex_hull_area,32887.0,pixels
plant8,solidity,0.9102076808465351,none
plant8,perimeter,785.7960251569748,pixels
plant8,width,203,pixels
plant8,height,222,pixels
plant8,longest_path,1549,pixels
plant8,center_of_mass,1288.195229504911,x
plant8,center_of_mass,134.11672345827486,y
plant8,convex_hull_vertices,32,none
plant8,object_in_frame,1,none
plant8,ellipse_center,1288.5543212890625,x
plant8,ellipse_center,132.96856689453125,y
plant8,ellipse_major_axis,217.7777557373047,pixels
plant8,ellipse_minor_axis,182.5963592529297,pixels
plant8,ellipse_angle,24.407135009765625,degrees
plant8,ellipse_eccentricity,0.5449742909605337,none
plant9,in_bounds,1,none
plant9,area,33058.0,pixels
plant9,convex_hull_area,35737.5,pixels
plant9,solidity,0.9250227352221057,none
plant9,perimeter,1235.6249819993973,pixels
plant9,width,232,pixels
plant9,height,203,pixels
plant9,longest_path,1702,pixels
plant9,center_of_mass,1619.5122209450058,x
plant9,center_of_mass,125.74429790065945,y
plant9,convex_hull_vertices,36,none
plant9,object_in_frame,1,none
plant9,ellipse_center,1619.396240234375,x
plant9,ellipse_center,125.0999984741211,y
plant9,ellipse_major_axis,236.83416748046875,pixels
plant9,ellipse_minor_axis,184.04122924804688,pixels
plant9,ellipse_angle,59.13704299926758,degrees
plant9,ellipse_eccentricity,0.6293907110957193,none
plant10,in_bounds,1,none
plant10,area,33052.0,pixels
plant10,convex_hull_area,35737.5,pixels
plant10,solidity,0.9248548443511717,none
plant10,perimeter,1235.6249819993973,pixels
plant10,width,232,pixels
plant10,height,203,pixels
plant10,longest_path,1702,pixels
plant10,center_of_mass,1619.522479728912,x
plant10,center_of_mass,125.74234539513493,y
plant10,convex_hull_vertices,36,none
plant10,object_in_frame,1,none
plant10,ellipse_center,1619.396240234375,x
plant10,ellipse_center,125.0999984741211,y
plant10,ellipse_major_axis,236.83416748046875,pixels
plant10,ellipse_minor_axis,184.04122924804688,pixels
plant10,ellipse_angle,59.13704299926758,degrees
plant10,ellipse_eccentricity,0.6293907110957193,none
plant11,in_bounds,0,none
plant11,area,31036.0,pixels
plant11,convex_hull_area,33293.0,pixels
plant11,solidity,0.9322079716456912,none
plant11,perimeter,802.180801153183,pixels
plant11,width,242,pixels
plant11,height,191,pixels
plant11,longest_path,1653,pixels
plant11,center_of_mass,120.68462430725609,x
plant11,center_of_mass,302.6597177471324,y
plant11,convex_hull_vertices,33,none
plant11,object_in_frame,0,none
plant11,ellipse_center,120.84554290771484,x
plant11,ellipse_center,303.0777893066406,y
plant11,ellipse_major_axis,232.5439453125,pixels
plant11,ellipse_minor_axis,173.21347045898438,pixels
plant11,ellipse_angle,96.03414154052734,degrees
plant11,ellipse_eccentricity,0.6672170085172274,none
plant13,in_bounds,1,none
plant13,area,34834.0,pixels
plant13,convex_hull_area,38526.0,pixels
plant13,solidity,0.904168613403935,none
plant13,perimeter,835.4356343746185,pixels
plant13,width,235,pixels
plant13,height,214,pixels
plant13,longest_path,1705,pixels
plant13,center_of_mass,459.4172360337601,x
plant13,center_of_mass,302.8678302807602,y
plant13,convex_hull_vertices,33,none
plant13,object_in_frame,1,none
plant13,ellipse_center,460.1361083984375,x
plant13,ellipse_center,302.5570983886719,y
plant13,ellipse_major_axis,229.03472900390625,pixels
plant13,ellipse_minor_axis,203.66415405273438,pixels
plant13,ellipse_angle,120.6461181640625,degrees
plant13,ellipse_eccentricity,0.4574637665727786,none
plant15,in_bounds,1,none
plant15,area,23310.0,pixels
plant15,convex_hull_area,24935.0,pixels
plant15,solidity,0.9348305594545819,none
plant15,perimeter,653.2274836301804,pixels
plant15,width,186,pixels
plant15,height,178,pixels
plant15,longest_path,1399,pixels
plant15,center_of_mass,798.2916344916345,x
plant15,center_of_mass,307.3578292578293,y
plant15,convex_hull_vertices,36,none
plant15,object_in_frame,1,none
plant15,ellipse_center,798.3765869140625,x
plant15,ellipse_center,306.8260803222656,y
plant15,ellipse_major_axis,179.9775390625,pixels
plant15,ellipse_minor_axis,168.99642944335938,pixels
plant15,ellipse_angle,63.31575012207031,degrees
plant15,ellipse_eccentricity,0.34395475713330903,none
plant17,in_bounds,1,none
plant17,area,28067.0,pixels
plant17,convex_hull_area,33484.0,pixels
plant17,solidity,0.8382212399952216,none
plant17,perimeter,1254.381755232811,pixels
plant17,width,206,pixels
plant17,height,215,pixels
plant17,longest_path,1471,pixels
plant17,center_of_mass,1113.7105497559412,x
plant17,center_of_mass,297.912210068764,y
plant17,convex_hull_vertices,36,none
plant17,object_in_frame,1,none
plant17,ellipse_center,1111.076416015625,x
plant17,ellipse_center,299.8938903808594,y
plant17,ellipse_major_axis,206.98196411132812,pixels
plant17,ellipse_minor_axis,185.62249755859375,pixels
plant17,ellipse_angle,18.975637435913086,degrees
plant17,ellipse_eccentricity,0.44242566530960126,none
plant19,in_bounds,1,none
plant19,area,30230.0,pixels
plant19,convex_hull_area,33794.0,pixels
plant19,solidity,0.8945374918624608,none
plant19,perimeter,775.5533845424652,pixels
plant19,width,238,pixels
plant19,height,206,pixels
plant19,longest_path,1662,pixels
plant19,center_of_mass,1437.2038703274893,x
plant19,center_of_mass,302.7312603374132,y
plant19,convex_hull_vertices,32,none
plant19,object_in_frame,1,none
plant19,ellipse_center,1437.4384765625,x
plant19,ellipse_center,302.709228515625,y
plant19,ellipse_major_axis,225.96189880371094,pixels
plant19,ellipse_minor_axis,182.860107421875,pixels
plant19,ellipse_angle,73.58621978759766,degrees
plant19,ellipse_eccentricity,0.5874617264686381,none
plant20,in_bounds,1,none
plant20,area,30230.0,pixels
plant20,convex_hull_area,33794.0,pixels
plant20,solidity,0.8945374918624608,none
plant20,perimeter,775.5533845424652,pixels
plant20,width,238,pixels
plant20,height,206,pixels
plant20,longest_path,1662,pixels
plant20,center_of_mass,1437.2038703274893,x
plant20,center_of_mass,302.7312603374132,y
plant20,convex_hull_vertices,32,none
plant20,object_in_frame,1,none
plant20,ellipse_center,1437.4384765625,x
plant20,ellipse_center,302.709228515625,y
plant20,ellipse_major_axis,225.96189880371094,pixels
plant20,ellipse_minor_axis,182.860107421875,pixels
plant20,ellipse_angle,73.58621978759766,degrees
plant20,ellipse_eccentricity,0.5874617264686381,none
plant21,in_bounds,0,none
plant21,area,34941.0,pixels
plant21,convex_hull_area,39261.5,pixels
plant21,solidity,0.8899558091259886,none
plant21,perimeter,882.4234417676926,pixels
plant21,width,256,pixels
plant21,height,212,pixels
plant21,longest_path,1829,pixels
plant21,center_of_mass,1795.1058927907043,x
plant21,center_of_mass,298.22718296557053,y
plant21,convex_hull_vertices,27,none
plant21,object_in_frame,0,none
plant21,ellipse_center,1795.374755859375,x
plant21,ellipse_center,297.2976989746094,y
plant21,ellipse_major_axis,253.32745361328125,pixels
plant21,ellipse_minor_axis,187.1473846435547,pixels
plant21,ellipse_angle,74.45197296142578,degrees
plant21,ellipse_eccentricity,0.6739720746751212,none
plant23,in_bounds,1,none
plant23,area,29677.0,pixels
plant23,convex_hull_area,31773.0,pixels
plant23,solidity,0.9340320397822051,none
plant23,perimeter,748.2396762371063,pixels
plant23,width,219,pixels
plant23,height,189,pixels
plant23,longest_path,1525,pixels
plant23,center_of_mass,289.4895036560299,x
plant23,center_of_mass,472.90693129359437,y
plant23,convex_hull_vertices,35,none
plant23,object_in_frame,1,none
plant23,ellipse_center,289.5083312988281,x
plant23,ellipse_center,473.1126708984375,y
plant23,ellipse_major_axis,216.29550170898438,pixels
plant23,ellipse_minor_axis,179.12319946289062,pixels
plant23,ellipse_angle,98.52706146240234,degrees
plant23,ellipse_eccentricity,0.5605196536233777,none
plant25,in_bounds,1,none
plant25,area,22905.0,pixels
plant25,convex_hull_area,25855.0,pixels
plant25,solidity,0.8859021465867337,none
plant25,perimeter,692.8427076339722,pixels
plant25,width,197,pixels
plant25,height,174,pixels
plant25,longest_path,1396,pixels
plant25,center_of_mass,640.2109583060467,x
plant25,center_of_mass,478.57061776904607,y
plant25,convex_hull_vertices,38,none
plant25,object_in_frame,1,none
plant25,ellipse_center,639.0103149414062,x
plant25,ellipse_center,478.0932312011719,y
plant25,ellipse_major_axis,187.95684814453125,pixels
plant25,ellipse_minor_axis,165.4544677734375,pixels
plant25,ellipse_angle,109.16696166992188,degrees
plant25,ellipse_eccentricity,0.4744563927466454,none
plant27,in_bounds,1,none
plant27,area,18714.0,pixels
plant27,convex_hull_area,20783.0,pixels
plant27,solidity,0.9004474811143723,none
plant27,perimeter,615.1858534812927,pixels
plant27,width,148,pixels
plant27,height,171,pixels
plant27,longest_path,1193,pixels
plant27,center_of_mass,954.7102703858075,x
plant27,center_of_mass,472.88831890563216,y
plant27,convex_hull_vertices,32,none
plant27,object_in_frame,1,none
plant27,ellipse_center,954.9647216796875,x
plant27,ellipse_center,473.25726318359375,y
plant27,ellipse_major_axis,173.14752197265625,pixels
plant27,ellipse_minor_axis,145.4198455810547,pixels
plant27,ellipse_angle,167.21580505371094,degrees
plant27,ellipse_eccentricity,0.542801577722487,none
plant29,in_bounds,1,none
plant29,area,20802.0,pixels
plant29,convex_hull_area,24253.5,pixels
plant29,solidity,0.8576906425876678,none
plant29,perimeter,739.5117543935776,pixels
plant29,width,176,pixels
plant29,height,175,pixels
plant29,longest_path,1318,pixels
plant29,center_of_mass,1282.0545139890396,x
plant29,center_of_mass,470.9265935967695,y
plant29,convex_hull_vertices,30,none
plant29,object_in_frame,1,none
plant29,ellipse_center,1282.780029296875,x
plant29,ellipse_center,471.45697021484375,y
plant29,ellipse_major_axis,170.0526885986328,pixels
plant29,ellipse_minor_axis,165.0547332763672,pixels
plant29,ellipse_angle,85.10491180419922,degrees
plant29,ellipse_eccentricity,0.24066043944599919,none
plant31,in_bounds,1,none
plant31,area,29474.0,pixels
plant31,convex_hull_area,33770.5,pixels
plant31,solidity,0.8727735745695208,none
plant31,perimeter,861.7787802219391,pixels
plant31,width,236,pixels
plant31,height,194,pixels
plant31,longest_path,1606,pixels
plant31,center_of_mass,1620.4237293886138,x
plant31,center_of_mass,474.4563683246251,y
plant31,convex_hull_vertices,30,none
plant31,object_in_frame,1,none
plant31,ellipse_center,1621.082275390625,x
plant31,ellipse_center,473.7479553222656,y
plant31,ellipse_major_axis,228.48489379882812,pixels
plant31,ellipse_minor_axis,175.0312957763672,pixels
plant31,ellipse_angle,69.96947479248047,degrees
plant31,ellipse_eccentricity,0.6427786771222856,none
plant32,in_bounds,1,none
plant32,area,29467.0,pixels
plant32,convex_hull_area,33770.5,pixels
plant32,solidity,0.8725662930664337,none
plant32,perimeter,861.7787802219391,pixels
plant32,width,236,pixels
plant32,height,194,pixels
plant32,longest_path,1606,pixels
plant32,center_of_mass,1620.4351647605797,x
plant32,center_of_mass,474.46295856381715,y
plant32,convex_hull_vertices,30,none
plant32,object_in_frame,1,none
plant32,ellipse_center,1621.082275390625,x
plant32,ellipse_center,473.7479553222656,y
plant32,ellipse_major_axis,228.48489379882812,pixels
plant32,ellipse_minor_axis,175.0312957763672,pixels
plant32,ellipse_angle,69.96947479248047,degrees
plant32,ellipse_eccentricity,0.6427786771222856,none
plant33,in_bounds,1,none
plant33,area,30493.0,pixels
plant33,convex_hull_area,32834.5,pixels
plant33,solidity,0.9286878131233915,none
plant33,perimeter,786.7249574661255,pixels
plant33,width,235,pixels
plant33,height,177,pixels
plant33,longest_path,1694,pixels
plant33,center_of_mass,131.0463057095071,x
plant33,center_of_mass,633.8117928704949,y
plant33,convex_hull_vertices,35,none
plant33,object_in_frame,1,none
plant33,ellipse_center,131.40380859375,x
plant33,ellipse_center,634.1405639648438,y
plant33,ellipse_major_axis,236.39329528808594,pixels
plant33,ellipse_minor_axis,168.58364868164062,pixels
plant33,ellipse_angle,79.8636474609375,degrees
plant33,ellipse_eccentricity,0.7010124566211,none
plant35,in_bounds,1,none
plant35,area,24638.0,pixels
plant35,convex_hull_area,27630.5,pixels
plant35,solidity,0.8916957709777239,none
plant35,perimeter,704.6833273172379,pixels
plant35,width,195,pixels
plant35,height,187,pixels
plant35,longest_path,1315,pixels
plant35,center_of_mass,471.26130367724653,x
plant35,center_of_mass,643.7012744540953,y
plant35,convex_hull_vertices,31,none
plant35,object_in_frame,1,none
plant35,ellipse_center,470.353759765625,x
plant35,ellipse_center,643.6822509765625,y
plant35,ellipse_major_axis,191.70176696777344,pixels
plant35,ellipse_minor_axis,172.68267822265625,pixels
plant35,ellipse_angle,73.96650695800781,degrees
plant35,ellipse_eccentricity,0.4342588233966114,none
plant37,in_bounds,1,none
plant37,area,21077.0,pixels
plant37,convex_hull_area,23669.5,pixels
plant37,solidity,0.8904708591224995,none
plant37,perimeter,1007.3068327903748,pixels
plant37,width,180,pixels
plant37,height,188,pixels
plant37,longest_path,1298,pixels
plant37,center_of_mass,795.771314703231,x
plant37,center_of_mass,629.613370024197,y
plant37,convex_hull_vertices,34,none
plant37,object_in_frame,1,none
plant37,ellipse_center,795.9248657226562,x
plant37,ellipse_center,626.572509765625,y
plant37,ellipse_major_axis,173.43869018554688,pixels
plant37,ellipse_minor_axis,161.6947021484375,pixels
plant37,ellipse_angle,3.142444372177124,degrees
plant37,ellipse_eccentricity,0.3617184543010183,none
plant39,in_bounds,1,none
plant39,area,20405.0,pixels
plant39,convex_hull_area,23274.5,pixels
plant39,solidity,0.8767105630625792,none
plant39,perimeter,936.0193679332733,pixels
plant39,width,177,pixels
plant39,height,183,pixels
plant39,longest_path,1296,pixels
plant39,center_of_mass,1117.2780200931145,x
plant39,center_of_mass,632.3741239892183,y
plant39,convex_hull_vertices,32,none
plant39,object_in_frame,1,none
plant39,ellipse_center,1115.590576171875,x
plant39,ellipse_center,631.3320922851562,y
plant39,ellipse_major_axis,174.3668212890625,pixels
plant39,ellipse_minor_axis,160.8050079345703,pixels
plant39,ellipse_angle,157.34698486328125,degrees
plant39,ellipse_eccentricity,0.38665958982496473,none
plant41,in_bounds,1,none
plant41,area,22858.0,pixels
plant41,convex_hull_area,24396.5,pixels
plant41,solidity,0.9369376754862377,none
plant41,perimeter,710.9259679317474,pixels
plant41,width,189,pixels
plant41,height,168,pixels
plant41,longest_path,1337,pixels
plant41,center_of_mass,1444.9549391897804,x
plant41,center_of_mass,633.421821681687,y
plant41,convex_hull_vertices,35,none
plant41,object_in_frame,1,none
plant41,ellipse_center,1444.891845703125,x
plant41,ellipse_center,631.9953002929688,y
plant41,ellipse_major_axis,183.24169921875,pixels
plant41,ellipse_minor_axis,159.7913360595703,pixels
plant41,ellipse_angle,116.38421630859375,degrees
plant41,ellipse_eccentricity,0.4894614010928469,none
plant43,in_bounds,0,none
plant43,area,32744.0,pixels
plant43,convex_hull_area,36367.0,pixels
plant43,solidity,0.9003767151538483,none
plant43,perimeter,866.3229365348816,pixels
plant43,width,256,pixels
plant43,height,177,pixels
plant43,longest_path,1874,pixels
plant43,center_of_mass,1794.1517529929147,x
plant43,center_of_mass,638.476514781334,y
plant43,convex_hull_vertices,34,none
plant43,object_in_frame,0,none
plant43,ellipse_center,1794.0516357421875,x
plant43,ellipse_center,637.6755981445312,y
plant43,ellipse_major_axis,255.6602783203125,pixels
plant43,ellipse_minor_axis,171.30380249023438,pixels
plant43,ellipse_angle,99.72687530517578,degrees
plant43,ellipse_eccentricity,0.7423207951390441,none
