sample,trait,value,label
plant0,in_bounds,1,none
plant0,area,1253.0,pixels
plant0,convex_hull_area,1498.0,pixels
plant0,solidity,0.8364485981308412,none
plant0,perimeter,204.2670258283615,pixels
plant0,width,52,pixels
plant0,height,39,pixels
plant0,longest_path,354,pixels
plant0,center_of_mass,121.86512370311253,x
plant0,center_of_mass,130.4980047885076,y
plant0,convex_hull_vertices,20,none
plant0,object_in_frame,1,none
plant0,ellipse_center,121.8458480834961,x
plant0,ellipse_center,130.16708374023438,y
plant0,ellipse_major_axis,50.18256759643555,pixels
plant0,ellipse_minor_axis,34.8929328918457,pixels
plant0,ellipse_angle,104.48489379882812,degrees
plant0,ellipse_eccentricity,0.7187004765366777,none
plant1,in_bounds,1,none
plant1,area,1237.0,pixels
plant1,convex_hull_area,1293.5,pixels
plant1,solidity,0.9563200618477,none
plant1,perimeter,155.4385987520218,pixels
plant1,width,45,pixels
plant1,height,42,pixels
plant1,longest_path,310,pixels
plant1,center_of_mass,291.2910266774454,x
plant1,center_of_mass,135.6046887631366,y
plant1,convex_hull_vertices,19,none
plant1,object_in_frame,1,none
plant1,ellipse_center,291.06201171875,x
plant1,ellipse_center,135.41342163085938,y
plant1,ellipse_major_axis,42.30333709716797,pixels
plant1,ellipse_minor_axis,37.533119201660156,pixels
plant1,ellipse_angle,72.8016586303711,degrees
plant1,ellipse_eccentricity,0.46131237657380203,none
plant2,in_bounds,1,none
plant2,area,1432.0,pixels
plant2,convex_hull_area,1610.5,pixels
plant2,solidity,0.889164855634896,none
plant2,perimeter,196.89444243907928,pixels
plant2,width,55,pixels
plant2,height,44,pixels
plant2,longest_path,373,pixels
plant2,center_of_mass,445.05935754189943,x
plant2,center_of_mass,138.54888268156424,y
plant2,convex_hull_vertices,18,none
plant2,object_in_frame,1,none
plant2,ellipse_center,444.907958984375,x
plant2,ellipse_center,138.2694091796875,y
plant2,ellipse_major_axis,51.60457229614258,pixels
plant2,ellipse_minor_axis,38.61294937133789,pixels
plant2,ellipse_angle,99.5882568359375,degrees
plant2,ellipse_eccentricity,0.6634206214828063,none
plant3,in_bounds,1,none
plant3,area,1408.0,pixels
plant3,convex_hull_area,1474.0,pixels
plant3,solidity,0.9552238805970149,none
plant3,perimeter,165.1959581375122,pixels
plant3,width,46,pixels
plant3,height,49,pixels
