,Date,Unnamed: 0,plant_id,plant_in_bounds,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_center_of_mass,plant_convex_hull_vertices,plant_object_in_frame,plant_ellipse_center,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants,germinated_plants,germination_rate
0,2023-02-01,0,plant0,True,1156.0,1480.5,0.7808172914555893,199.82337474823,53,39,343,"(97.63062283737024, 156.91695501730104)",15,True,"(96.69651794433594, 155.87222290039062)",48.9852409362793,36.10641860961914,102.87688446044922,0.6757971008275883,55,55,100.0
1,2023-02-01,1,plant1,True,1244.0,1474.5,0.8436758223126484,208.99494767189023,55,42,378,"(269.86575562700966, 156.2636655948553)",20,True,"(270.00408935546875, 156.42880249023438)",49.82716369628906,34.55316925048828,75.41693878173828,0.7204946576057075,55,55,100.0
2,2023-02-01,2,plant2,True,1308.0,1605.0,0.8149532710280374,206.7939372062683,55,43,371,"(427.2561162079511, 156.0137614678899)",18,True,"(427.7008972167969, 155.6174774169922)",50.23243713378906,39.06521987915039,93.88867950439452,0.6286490524233168,55,55,100.0
3,2023-02-01,3,plant3,True,1335.0,1525.0,0.8754098360655738,208.30865597724917,43,54,391,"(585.5940074906367, 151.94681647940075)",16,True,"(585.6491088867188, 152.14537048339844)",50.99414825439453,34.46515274047852,155.5295867919922,0.7370255724674936,55,55,100.0
4,2023-02-01,4,plant4,True,1171.0,1525.0,0.7678688524590164,262.4507913589477,43,51,338,"(747.8172502134927, 151.16481639624251)",18,True,"(747.1608276367188, 151.43975830078125)",43.82843017578125,38.105072021484375,154.82200622558594,0.4940834488110608,55,55,100.0
5,2023-02-01,5,plant5,True,1675.0,1938.5,0.8640701573381481,226.89444243907928,50,54,368,"(901.4859701492537, 149.67701492537313)",23,True,"(901.48388671875, 149.8440704345703)",50.39287567138672,47.48522567749024,29.024656295776367,0.3347685797164879,55,55,100.0
6,2023-02-01,6,plant6,True,1212.0,1343.5,0.9021213248976554,179.92387998104095,33,58,367,"(1059.733498349835, 149.97029702970298)",21,True,"(1059.78564453125, 150.01702880859375)",58.76114273071289,27.720590591430664,13.06397819519043,0.8817321544281775,55,55,100.0
7,2023-02-01,7,plant7,True,1705.0,2226.5,0.7657758814282506,319.90663504600525,61,52,470,"(1218.0463343108504, 147.22052785923754)",19,True,"(1218.3790283203125, 147.04544067382812)",58.57397079467773,44.71441650390625,51.34235000610352,0.6459452574457853,55,55,100.0
8,2023-02-01,8,plant8,True,1492.0,2202.0,0.6775658492279746,283.3208485841751,63,59,411,"(1373.3123324396784, 144.5040214477212)",21,True,"(1374.3375244140625, 143.01412963867188)",62.841705322265625,43.32766342163086,56.33727645874024,0.7243113193244851,55,55,100.0
9,2023-02-01,9,plant9,True,1474.0,2243.0,0.6571555951850201,340.19090580940247,71,52,526,"(1549.1044776119404, 137.51628222523746)",13,True,"(1547.8990478515625, 137.52503967285156)",73.6986083984375,34.6798095703125,67.35302734375,0.8823666071676617,55,55,100.0
10,2023-02-01,10,plant10,True,1542.0,2343.5,0.6579901856197995,316.2497808933258,75,49,503,"(1705.854085603113, 137.72827496757458)",15,True,"(1707.880615234375, 135.9734649658203)",67.7314224243164,43.25712203979492,82.09774017333984,0.7694918505284407,55,55,100.0
11,2023-02-01,11,plant11,True,1904.0,2402.5,0.7925078043704474,271.37972366809845,71,50,490,"(98.86607142857143, 308.3424369747899)",21,True,"(98.82939910888672, 308.5298156738281)",67.83453369140625,40.58762741088867,110.46941375732422,0.8012476795768104,55,55,100.0
12,2023-02-01,12,plant12,True,1409.0,1754.5,0.8030777999430037,216.0660153627396,54,50,374,"(269.1937544357701, 312.52590489709013)",19,True,"(269.39013671875, 312.840087890625)",55.79298782348633,37.54786682128906,125.38316345214844,0.7396557557837834,55,55,100.0
13,2023-02-01,13,plant13,True,1897.0,2613.0,0.7259854573287409,297.3208485841751,68,56,479,"(425.24196099103847, 310.33948339483396)",18,True,"(424.20147705078125, 310.16168212890625)",66.60792541503906,48.30537414550781,123.4145278930664,0.688517615900098,55,55,100.0
14,2023-02-01,14,plant14,True,805.0,916.0,0.87882096069869,138.95331752300262,41,35,283,"(594.216149068323, 306.7093167701863)",16,True,"(594.20458984375, 306.6304016113281)",36.71710205078125,29.473886489868164,66.91753387451172,0.5963438462868826,55,55,100.0
15,2023-02-01,15,plant15,True,1145.0,1384.5,0.8270133622246298,205.09545290470123,49,43,351,"(748.5353711790393, 307.6934497816594)",16,True,"(749.1566772460938, 307.2022705078125)",51.44213485717773,32.070735931396484,121.8494873046875,0.7818765992627776,55,55,100.0
16,2023-02-01,16,plant16,True,740.0,940.0,0.7872340425531915,222.7939372062683,33,42,288,"(903.795945945946, 306.9418918918919)",20,True,"(903.5345458984375, 307.9662170410156)",37.48648071289063,27.471176147460938,175.9370880126953,0.6804129732768331,55,55,100.0
17,2023-02-01,17,plant17,True,1929.0,2428.5,0.7943174799258802,265.0365778207779,58,63,421,"(1062.4012441679627, 301.29082426127525)",18,True,"(1063.43359375, 299.75408935546875)",57.8568229675293,52.96573257446289,8.904077529907227,0.4024040498946528,55,55,100.0
18,2023-02-01,18,plant18,True,974.0,1119.5,0.8700312639571237,203.5807341337204,45,34,301,"(1210.569815195072, 306.48357289527723)",19,True,"(1210.5771484375, 306.3309631347656)",42.1027717590332,29.77850914001465,83.96869659423828,0.7069320767900243,55,55,100.0
