sample,trait,value,label
plant0,in_bounds,1,none
plant0,area,1424.0,pixels
plant0,convex_hull_area,1658.5,pixels
plant0,solidity,0.8586071751582756,none
plant0,perimeter,199.23758828639984,pixels
plant0,width,55,pixels
plant0,height,40,pixels
plant0,longest_path,444,pixels
plant0,center_of_mass,105.17345505617978,x
plant0,center_of_mass,118.02808988764045,y
plant0,convex_hull_vertices,18,none
plant0,object_in_frame,1,none
plant0,ellipse_center,104.18855285644531,x
plant0,ellipse_center,117.61619567871094,y
plant0,ellipse_major_axis,56.63164520263672,pixels
plant0,ellipse_minor_axis,35.46809768676758,pixels
plant0,ellipse_angle,110.81905364990234,degrees
plant0,ellipse_eccentricity,0.77958641802313,none
plant1,in_bounds,1,none
plant1,area,1919.0,pixels
plant1,convex_hull_area,2197.0,pixels
plant1,solidity,0.8734638142922166,none
plant1,perimeter,245.0365778207779,pixels
plant1,width,64,pixels
plant1,height,50,pixels
plant1,longest_path,484,pixels
plant1,center_of_mass,265.8692027097447,x
plant1,center_of_mass,119.27566440854612,y
plant1,convex_hull_vertices,21,none
plant1,object_in_frame,1,none
plant1,ellipse_center,266.1359558105469,x
plant1,ellipse_center,119.44332885742188,y
plant1,ellipse_major_axis,68.1259536743164,pixels
plant1,ellipse_minor_axis,38.50349044799805,pixels
plant1,ellipse_angle,119.5553970336914,degrees
plant1,ellipse_eccentricity,0.8249669729883972,none
plant2,in_bounds,1,none
plant2,area,1156.0,pixels
plant2,convex_hull_area,1300.5,pixels
plant2,solidity,0.8888888888888888,none
plant2,perimeter,172.5096664428711,pixels
plant2,width,48,pixels
plant2,height,41,pixels
plant2,longest_path,359,pixels
plant2,center_of_mass,436.1764705882353,x
plant2,center_of_mass,128.54584775086505,y
plant2,convex_hull_vertices,20,none
plant2,object_in_frame,1,none
plant2,ellipse_center,436.2371520996094,x
plant2,ellipse_center,128.3028106689453,y
plant2,ellipse_major_axis,49.82129669189453,pixels
plant2,ellipse_minor_axis,30.455827713012695,pixels
plant2,ellipse_angle,120.2938232421875,degrees
plant2,ellipse_eccentricity,0.7913978870629622,none
plant3,in_bounds,1,none
plant3,area,1274.0,pixels
plant3,convex_hull_area,1373.0,pixels
plant3,solidity,0.9278951201747997,none
plant3,perimeter,198.89444243907928,pixels
plant3,width,48,pixels
plant3,height,42,pixels
plant3,longest_path,379,pixels
plant3,center_of_mass,594.5188383045526,x
plant3,center_of_mass,131.37048665620094,y
plant3,convex_hull_vertices,26,none
plant3,object_in_frame,1,none
plant3,ellipse_center,594.7337036132812,x
plant3,ellipse_center,131.46142578125,y
