sample,trait,value,label
plant0,in_bounds,1,none
plant0,area,196.0,pixels
plant0,convex_hull_area,216.0,pixels
plant0,solidity,0.9074074074074074,none
plant0,perimeter,81.5979790687561,pixels
plant0,width,28,pixels
plant0,height,12,pixels
plant0,longest_path,168,pixels
plant0,center_of_mass,183.9387755102041,x
plant0,center_of_mass,137.46428571428572,y
plant0,convex_hull_vertices,12,none
plant0,object_in_frame,1,none
plant0,ellipse_center,184.25473022460938,x
plant0,ellipse_center,137.72634887695312,y
plant0,ellipse_major_axis,25.095096588134766,pixels
plant0,ellipse_minor_axis,9.973306655883789,pixels
plant0,ellipse_angle,92.0864486694336,degrees
plant0,ellipse_eccentricity,0.9176365948105903,none
plant1,in_bounds,1,none
plant1,area,8433.0,pixels
plant1,convex_hull_area,9570.0,pixels
plant1,solidity,0.881191222570533,none
plant1,perimeter,428.81832242012024,pixels
plant1,width,132,pixels
plant1,height,103,pixels
plant1,longest_path,924,pixels
plant1,center_of_mass,313.23360607138625,x
plant1,center_of_mass,131.6130677101862,y
plant1,convex_hull_vertices,29,none
plant1,object_in_frame,1,none
plant1,ellipse_center,314.5199890136719,x
plant1,ellipse_center,131.32186889648438,y
plant1,ellipse_major_axis,126.91386413574219,pixels
plant1,ellipse_minor_axis,95.32624053955078,pixels
plant1,ellipse_angle,95.58483123779297,degrees
plant1,ellipse_eccentricity,0.6601773595741166,none
plant3,in_bounds,1,none
plant3,area,7832.0,pixels
plant3,convex_hull_area,9018.5,pixels
plant3,solidity,0.8684371015135555,none
plant3,perimeter,438.81832242012024,pixels
plant3,width,120,pixels
plant3,height,110,pixels
plant3,longest_path,821,pixels
plant3,center_of_mass,642.0195352400409,x
plant3,center_of_mass,135.06013789581206,y
plant3,convex_hull_vertices,23,none
plant3,object_in_frame,1,none
plant3,ellipse_center,641.4597778320312,x
plant3,ellipse_center,135.30072021484375,y
plant3,ellipse_major_axis,114.0709228515625,pixels
plant3,ellipse_minor_axis,94.91069793701172,pixels
plant3,ellipse_angle,121.07103729248047,degrees
plant3,ellipse_eccentricity,0.5547271127070851,none
plant5,in_bounds,1,none
plant5,area,9889.0,pixels
plant5,convex_hull_area,11207.0,pixels
plant5,solidity,0.8823949317390917,none
plant5,perimeter,479.6883796453476,pixels
plant5,width,124,pixels
plant5,height,128,pixels
plant5,longest_path,927,pixels
plant5,center_of_mass,958.8637880473253,x
plant5,center_of_mass,143.15158256648803,y
plant5,convex_hull_vertices,28,none
plant5,object_in_frame,1,none
plant5,ellipse_center,958.603515625,x
plant5,ellipse_center,142.99208068847656,y
plant5,ellipse_major_axis,120.6273422241211,pixels
plant5,ellipse_minor_axis,108.61121368408203,pixels
plant5,ellipse_angle,19.169879913330078,degrees
plant5,ellipse_eccentricity,0.43509125617140915,none
plant7,in_bounds,1,none
plant7,area,10000.0,pixels
plant7,convex_hull_area,12812.0,pixels
plant7,solidity,0.7805182641273806,none
plant7,perimeter,582.5411919355392,pixels
plant7,width,120,pixels
plant7,height,128,pixels
plant7,longest_path,983,pixels
plant7,center_of_mass,1284.2581,x
plant7,center_of_mass,143.345,y
plant7,convex_hull_vertices,24,none
plant7,object_in_frame,1,none
plant7,ellipse_center,1284.82666015625,x
plant7,ellipse_center,141.1068572998047,y
plant7,ellipse_major_axis,126.8795394897461,pixels
plant7,ellipse_minor_axis,118.46747589111328,pixels
plant7,ellipse_angle,26.275562286376953,degrees
plant7,ellipse_eccentricity,0.35805526951174577,none
plant8,in_bounds,1,none
plant8,area,533.0,pixels
plant8,convex_hull_area,612.5,pixels
plant8,solidity,0.8702040816326531,none
plant8,perimeter,130.1248904466629,pixels
plant8,width,30,pixels
plant8,height,30,pixels
plant8,longest_path,208,pixels
plant8,center_of_mass,1419.7711069418388,x
plant8,center_of_mass,158.9793621013133,y
plant8,convex_hull_vertices,18,none
plant8,object_in_frame,1,none
plant8,ellipse_center,1419.3388671875,x
plant8,ellipse_center,159.16526794433594,y
plant8,ellipse_major_axis,27.964784622192383,pixels
plant8,ellipse_minor_axis,25.77164077758789,pixels
plant8,ellipse_angle,139.90792846679688,degrees
plant8,ellipse_eccentricity,0.38820083612533096,none
plant9,in_bounds,1,none
plant9,area,12512.0,pixels
plant9,convex_hull_area,16057.5,pixels
plant9,solidity,0.7791997508952203,none
plant9,perimeter,722.6660823822021,pixels
plant9,width,161,pixels
plant9,height,144,pixels
plant9,longest_path,1189,pixels
plant9,center_of_mass,1621.5724104859335,x
plant9,center_of_mass,151.73585358056266,y
plant9,convex_hull_vertices,24,none
plant9,object_in_frame,1,none
plant9,ellipse_center,1620.5364990234375,x
plant9,ellipse_center,150.730712890625,y
plant9,ellipse_major_axis,149.9781036376953,pixels
plant9,ellipse_minor_axis,118.9613265991211,pixels
plant9,ellipse_angle,66.2636947631836,degrees
plant9,ellipse_eccentricity,0.6089725493003798,none
plant10,in_bounds,1,none
plant10,area,13327.0,pixels
plant10,convex_hull_area,20489.5,pixels
plant10,solidity,0.6504307084116254,none
plant10,perimeter,1143.4395337104797,pixels
plant10,width,216,pixels
plant10,height,144,pixels
plant10,longest_path,1406,pixels
plant10,center_of_mass,1629.414271779095,x
plant10,center_of_mass,152.26052374878068,y
plant10,convex_hull_vertices,25,none
plant10,object_in_frame,1,none
plant10,ellipse_center,1636.2681884765625,x
plant10,ellipse_center,151.78094482421875,y
plant10,ellipse_major_axis,197.5731964111328,pixels
plant10,ellipse_minor_axis,117.26836395263672,pixels
plant10,ellipse_angle,91.24291229248047,degrees
plant10,ellipse_eccentricity,0.804801620444528,none
plant11,in_bounds,1,none
plant11,area,13922.0,pixels
plant11,convex_hull_area,15299.5,pixels
plant11,solidity,0.9099643779208471,none
plant11,perimeter,562.8010774850845,pixels
plant11,width,157,pixels
plant11,height,130,pixels
plant11,longest_path,1076,pixels
plant11,center_of_mass,141.50675190346215,x
plant11,center_of_mass,285.537207297802,y
plant11,convex_hull_vertices,30,none
plant11,object_in_frame,1,none
plant11,ellipse_center,141.2725067138672,x
plant11,ellipse_center,285.0269470214844,y
plant11,ellipse_major_axis,150.25559997558594,pixels
plant11,ellipse_minor_axis,121.84387969970703,pixels
plant11,ellipse_angle,83.96236419677734,degrees
plant11,ellipse_eccentricity,0.5851698663304077,none
plant13,in_bounds,1,none
plant13,area,12143.0,pixels
plant13,convex_hull_area,13668.0,pixels
plant13,solidity,0.8884255194615159,none
plant13,perimeter,570.4163014888763,pixels
plant13,width,154,pixels
plant13,height,122,pixels
plant13,longest_path,1076,pixels
plant13,center_of_mass,469.71077987317796,x
plant13,center_of_mass,285.5180762579264,y
plant13,convex_hull_vertices,31,none
plant13,object_in_frame,1,none
plant13,ellipse_center,471.2858581542969,x
plant13,ellipse_center,285.2846984863281,y
plant13,ellipse_major_axis,159.9320068359375,pixels
plant13,ellipse_minor_axis,101.63484954833984,pixels
plant13,ellipse_angle,113.50028991699219,degrees
plant13,ellipse_eccentricity,0.7721108557743457,none
plant15,in_bounds,1,none
plant15,area,8603.0,pixels
plant15,convex_hull_area,9586.0,pixels
plant15,solidity,0.8974546213227623,none
plant15,perimeter,430.96045780181885,pixels
plant15,width,114,pixels
plant15,height,124,pixels
plant15,longest_path,771,pixels
plant15,center_of_mass,803.6759270022085,x
plant15,center_of_mass,306.26641869115423,y
plant15,convex_hull_vertices,25,none
plant15,object_in_frame,1,none
plant15,ellipse_center,803.739013671875,x
plant15,ellipse_center,305.71954345703125,y
plant15,ellipse_major_axis,118.56197357177734,pixels
plant15,ellipse_minor_axis,100.15169525146484,pixels
plant15,ellipse_angle,159.83929443359375,degrees
plant15,ellipse_eccentricity,0.5352081522898563,none
plant17,in_bounds,1,none
plant17,area,8600.0,pixels
plant17,convex_hull_area,9821.5,pixels
plant17,solidity,0.8756299954182152,none
plant17,perimeter,495.20309841632843,pixels
plant17,width,114,pixels
plant17,height,120,pixels
plant17,longest_path,813,pixels
plant17,center_of_mass,1121.4097674418604,x
plant17,center_of_mass,303.4439534883721,y
plant17,convex_hull_vertices,25,none
plant17,object_in_frame,1,none
plant17,ellipse_center,1122.6773681640625,x
plant17,ellipse_center,304.4198303222656,y
plant17,ellipse_major_axis,111.77183532714844,pixels
plant17,ellipse_minor_axis,103.07951354980469,pixels
plant17,ellipse_angle,138.09829711914062,degrees
plant17,ellipse_eccentricity,0.38663801950046467,none
