,plant_id,plant_in_bounds,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_center_of_mass,plant_convex_hull_vertices,plant_object_in_frame,plant_ellipse_center,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants,germinated_plants,germination_rate
0,plant0,True,2183.0,2382.0,0.9164567590260285,216.89444243907928,66,49,438,"(142.2858451672011, 122.24415941365093)",23,True,"(142.44239807128906, 122.08184814453125)",62.80970001220703,45.897254943847656,82.52413940429688,0.6826610834728631,55,55,100.0
1,plant1,True,1370.0,1513.0,0.9054857898215466,171.1959581375122,45,41,327,"(311.4839416058394, 124.00656934306569)",21,True,"(310.953125, 123.83538055419922)",46.23455047607422,40.0191764831543,116.08699798583984,0.5007903233129635,55,55,100.0
2,plant2,True,1364.0,1464.0,0.9316939890710383,170.02438521385193,54,41,376,"(463.92815249266863, 128.05718475073314)",24,True,"(463.9977111816406, 127.99737548828125)",51.659912109375,35.39023208618164,102.43268585205078,0.728484960659342,55,55,100.0
3,plant3,True,1204.0,1276.5,0.9432040736388563,153.29646337032318,41,46,352,"(624.7134551495017, 131.08803986710964)",20,True,"(624.795166015625, 131.11305236816406)",49.93582534790039,31.707294464111328,146.1143035888672,0.7725443093570724,55,55,100.0
4,plant4,True,1350.0,1387.0,0.9733237202595529,152.46803629398346,47,37,327,"(780.6207407407408, 135.88814814814816)",21,True,"(780.5925903320312, 135.75389099121094)",47.78488540649414,36.8337287902832,93.7617416381836,0.6370483576883789,55,55,100.0
5,plant5,True,1363.0,1490.5,0.9144582354914458,168.95331752300262,51,43,337,"(927.7732942039619, 137.36390315480557)",21,True,"(927.2565307617188, 137.68234252929688)",47.873992919921875,39.925453186035156,92.36277770996094,0.5518104383958251,55,55,100.0
6,plant6,True,1357.0,1377.0,0.9854756717501816,152.36753106117249,44,47,369,"(1082.0257921886514, 136.88430361090641)",21,True,"(1081.8731689453125, 137.2030029296875)",52.44626998901367,33.4080696105957,39.19268798828125,0.7708670212836309,55,55,100.0
7,plant7,True,1435.0,1566.0,0.9163473818646233,180.2670258283615,45,50,350,"(1240.0773519163763, 137.64738675958188)",20,True,"(1240.1513671875, 137.3625030517578)",47.59033966064453,41.84300231933594,12.483940124511719,0.4763917917607487,55,55,100.0
8,plant8,True,1526.0,1801.0,0.8473070516379789,208.55129659175873,50,50,409,"(1398.0923984272608, 134.9148099606815)",19,True,"(1398.0587158203125, 134.6874237060547)",53.2983283996582,40.45261764526367,38.38762664794922,0.6511084182783544,55,55,100.0
9,plant9,True,1899.0,2134.5,0.8896697118763176,217.82337474822998,55,53,418,"(1562.1337546076882, 135.51816745655609)",21,True,"(1563.2391357421875, 135.36741638183594)",57.70234298706055,48.263065338134766,58.104740142822266,0.5480977136177884,55,55,100.0
10,plant10,True,2234.0,2946.0,0.758316361167685,286.534051656723,72,60,514,"(1732.3898836168307, 133.8357206803939)",17,True,"(1736.35595703125, 132.62887573242188)",77.64149475097656,51.63597106933594,67.1717300415039,0.746793155912501,55,55,100.0
11,plant11,True,1839.0,1995.0,0.9218045112781955,196.40916121006012,58,49,411,"(149.57803153887983, 276.84393692224035)",21,True,"(149.29330444335938, 276.8879699707031)",54.30164337158203,43.85415267944336,98.50813293457031,0.5897269811728079,55,55,100.0
12,plant12,True,1477.0,1558.0,0.94801026957638,165.78174459934235,50,43,320,"(311.7535545023697, 277.9844278943805)",18,True,"(311.79339599609375, 277.78839111328125)",48.5199089050293,39.477542877197266,77.4136734008789,0.581374678968636,55,55,100.0
13,plant13,True,1551.0,1792.5,0.8652719665271966,184.5096664428711,52,50,354,"(465.84655061250805, 281.6924564796905)",22,True,"(464.62371826171875, 281.330078125)",50.29112243652344,46.586795806884766,53.20975112915039,0.3766827281374201,55,55,100.0
14,plant14,True,1499.0,1625.5,0.922177791448785,176.02438521385193,50,48,336,"(621.2048032021347, 284.2468312208139)",19,True,"(620.8516845703125, 284.4608154296875)",48.372474670410156,45.248291015625,15.689745903015137,0.35355425347439456,55,55,100.0
