sample,trait,value,label
plant1,max_temp,1254.0,degrees
plant1,min_temp,0.0,degrees
plant1,mean_temp,1191.6118052384709,degrees
plant1,median_temp,1199.0,degrees
plant1,thermal_frequencies,0.39018720684072894,6.27
plant1,thermal_frequencies,0.0,18.81
plant1,thermal_frequencies,0.0,31.349999999999998
plant1,thermal_frequencies,0.0,43.89
plant1,thermal_frequencies,0.0,56.42999999999999
plant1,thermal_frequencies,0.0,68.97
plant1,thermal_frequencies,0.0,81.50999999999999
plant1,thermal_frequencies,0.0,94.05
plant1,thermal_frequencies,0.0,106.58999999999999
plant1,thermal_frequencies,0.0,119.13
plant1,thermal_frequencies,0.0,131.67
plant1,thermal_frequencies,0.0,144.20999999999998
plant1,thermal_frequencies,0.0,156.75
plant1,thermal_frequencies,0.0,169.29
plant1,thermal_frequencies,0.0,181.82999999999998
plant1,thermal_frequencies,0.0,194.37
plant1,thermal_frequencies,0.0,206.90999999999997
plant1,thermal_frequencies,0.0,219.45
plant1,thermal_frequencies,0.0,231.98999999999998
plant1,thermal_frequencies,0.0,244.52999999999997
plant1,thermal_frequencies,0.0,257.07
plant1,thermal_frequencies,0.0,269.61
plant1,thermal_frequencies,0.0,282.15
plant1,thermal_frequencies,0.0,294.68999999999994
plant1,thermal_frequencies,0.0,307.23
plant1,thermal_frequencies,0.0,319.77
plant1,thermal_frequencies,0.0,332.30999999999995
plant1,thermal_frequencies,0.0,344.85
plant1,thermal_frequencies,0.0,357.39
plant1,thermal_frequencies,0.0,369.92999999999995
plant1,thermal_frequencies,0.0,382.46999999999997
plant1,thermal_frequencies,0.0,395.01
plant1,thermal_frequencies,0.0,407.54999999999995
plant1,thermal_frequencies,0.0,420.09
plant1,thermal_frequencies,0.0,432.63
plant1,thermal_frequencies,0.0,445.16999999999996
plant1,thermal_frequencies,0.0,457.7099999999999
plant1,thermal_frequencies,0.0,470.25
plant1,thermal_frequencies,0.0,482.78999999999996
plant1,thermal_frequencies,0.0,495.3299999999999
plant1,thermal_frequencies,0.0,507.87
plant1,thermal_frequencies,0.0,520.41
plant1,thermal_frequencies,0.0,532.9499999999999
plant1,thermal_frequencies,0.0,545.49
plant1,thermal_frequencies,0.0,558.03
plant1,thermal_frequencies,0.0,570.5699999999999
plant1,thermal_frequencies,0.0,583.1099999999999
plant1,thermal_frequencies,0.0,595.65
plant1,thermal_frequencies,0.0,608.1899999999999
plant1,thermal_frequencies,0.0,620.73
plant1,thermal_frequencies,0.0,633.27
plant1,thermal_frequencies,0.0,645.81
plant1,thermal_frequencies,0.0,658.3499999999999
plant1,thermal_frequencies,0.0,670.89
plant1,thermal_frequencies,0.0,683.43
plant1,thermal_frequencies,0.0,695.97
plant1,thermal_frequencies,0.0,708.51
plant1,thermal_frequencies,0.0,721.05
plant1,thermal_frequencies,0.0,733.5899999999999
plant1,thermal_frequencies,0.0,746.1299999999999
plant1,thermal_frequencies,0.0,758.67
plant1,thermal_frequencies,0.0,771.2099999999999
plant1,thermal_frequencies,0.0,783.75
plant1,thermal_frequencies,0.0,796.29
plant1,thermal_frequencies,0.0,808.8299999999999
plant1,thermal_frequencies,0.0,821.3699999999999
plant1,thermal_frequencies,0.0,833.91
plant1,thermal_frequencies,0.0,846.4499999999999
plant1,thermal_frequencies,0.0,858.99
plant1,thermal_frequencies,0.0,871.53
plant1,thermal_frequencies,0.0,884.0699999999999
plant1,thermal_frequencies,0.0,896.6099999999999
plant1,thermal_frequencies,0.0,909.1499999999999
plant1,thermal_frequencies,0.0,921.6899999999999
plant1,thermal_frequencies,0.0,934.2299999999999
plant1,thermal_frequencies,0.0,946.77
plant1,thermal_frequencies,0.0,959.31
plant1,thermal_frequencies,0.0,971.8499999999999
plant1,thermal_frequencies,0.0,984.3899999999999
plant1,thermal_frequencies,0.0,996.93
plant1,thermal_frequencies,0.0,1009.4699999999999
plant1,thermal_frequencies,0.0,1022.01
plant1,thermal_frequencies,0.0,1034.55
plant1,thermal_frequencies,0.0,1047.09
plant1,thermal_frequencies,0.0,1059.6299999999999
plant1,thermal_frequencies,0.0,1072.1699999999998
plant1,thermal_frequencies,0.0,1084.71
plant1,thermal_frequencies,0.0,1097.25
plant1,thermal_frequencies,0.0,1109.79
plant1,thermal_frequencies,0.07471669918226724,1122.33
plant1,thermal_frequencies,3.19206342617575,1134.87
plant1,thermal_frequencies,3.5407413556929974,1147.4099999999999
plant1,thermal_frequencies,12.826366692955876,1159.9499999999998
plant1,thermal_frequencies,11.693163422024822,1172.49
plant1,thermal_frequencies,9.39354945830393,1185.03
plant1,thermal_frequencies,13.61504296210203,1197.57
plant1,thermal_frequencies,16.881823087460045,1210.11
plant1,thermal_frequencies,14.245983977418952,1222.6499999999999
plant1,thermal_frequencies,9.924868208044497,1235.1899999999998
plant1,thermal_frequencies,4.221493503798099,1247.73
plant3,max_temp,1262.0,degrees
plant3,min_temp,0.0,degrees
plant3,mean_temp,1192.6119806632637,degrees
plant3,median_temp,1206.0,degrees
plant3,thermal_frequencies,0.11155809472296406,6.31
plant3,thermal_frequencies,0.0,18.93
plant3,thermal_frequencies,0.0,31.549999999999997
plant3,thermal_frequencies,0.0,44.17
plant3,thermal_frequencies,0.0,56.78999999999999
plant3,thermal_frequencies,0.0,69.41
plant3,thermal_frequencies,0.0,82.03
plant3,thermal_frequencies,0.0,94.64999999999999
plant3,thermal_frequencies,0.0,107.27
plant3,thermal_frequencies,0.0,119.88999999999999
plant3,thermal_frequencies,0.0,132.51
plant3,thermal_frequencies,0.0,145.13
plant3,thermal_frequencies,0.0,157.75
plant3,thermal_frequencies,0.0,170.37
plant3,thermal_frequencies,0.0,182.98999999999998
plant3,thermal_frequencies,0.0,195.60999999999999
plant3,thermal_frequencies,0.0,208.23
plant3,thermal_frequencies,0.0,220.85
plant3,thermal_frequencies,0.0,233.46999999999997
plant3,thermal_frequencies,0.0,246.08999999999997
plant3,thermal_frequencies,0.0,258.71
plant3,thermal_frequencies,0.0,271.33
plant3,thermal_frequencies,0.0,283.95
plant3,thermal_frequencies,0.0,296.57
plant3,thermal_frequencies,0.0,309.19
plant3,thermal_frequencies,0.0,321.81
plant3,thermal_frequencies,0.0,334.42999999999995
plant3,thermal_frequencies,0.0,347.04999999999995
plant3,thermal_frequencies,0.0,359.66999999999996
plant3,thermal_frequencies,0.0,372.28999999999996
