sample,trait,value,label
plant0,in_bounds,1,none
plant0,area,1338.0,pixels
plant0,convex_hull_area,1468.0,pixels
plant0,solidity,0.9114441416893733,none
plant0,perimeter,167.78174459934235,pixels
plant0,width,53,pixels
plant0,height,43,pixels
plant0,longest_path,356,pixels
plant0,center_of_mass,125.98430493273543,x
plant0,center_of_mass,127.57399103139014,y
plant0,convex_hull_vertices,17,none
plant0,object_in_frame,1,none
plant0,ellipse_center,125.70277404785156,x
plant0,ellipse_center,127.30545806884766,y
plant0,ellipse_major_axis,54.2537841796875,pixels
plant0,ellipse_minor_axis,32.65251541137695,pixels
plant0,ellipse_angle,112.90943908691406,degrees
plant0,ellipse_eccentricity,0.7986108826369436,none
plant1,in_bounds,1,none
plant1,area,1254.0,pixels
plant1,convex_hull_area,1316.5,pixels
plant1,solidity,0.9525256361564755,none
plant1,perimeter,153.39696860313416,pixels
plant1,width,49,pixels
plant1,height,36,pixels
plant1,longest_path,348,pixels
plant1,center_of_mass,292.70095693779905,x
plant1,center_of_mass,134.7360446570973,y
plant1,convex_hull_vertices,19,none
plant1,object_in_frame,1,none
plant1,ellipse_center,293.1034851074219,x
plant1,ellipse_center,134.57069396972656,y
plant1,ellipse_major_axis,48.781700134277344,pixels
plant1,ellipse_minor_axis,33.44601058959961,pixels
plant1,ellipse_angle,78.59745788574219,degrees
plant1,ellipse_eccentricity,0.72795380683048,none
plant2,in_bounds,1,none
plant2,area,965.0,pixels
plant2,convex_hull_area,1025.0,pixels
plant2,solidity,0.9414634146341463,none
plant2,perimeter,133.9827550649643,pixels
plant2,width,45,pixels
plant2,height,34,pixels
plant2,longest_path,321,pixels
plant2,center_of_mass,452.559585492228,x
plant2,center_of_mass,138.9419689119171,y
plant2,convex_hull_vertices,17,none
plant2,object_in_frame,1,none
plant2,ellipse_center,452.5572204589844,x
plant2,ellipse_center,138.9833526611328,y
plant2,ellipse_major_axis,43.123538970947266,pixels
plant2,ellipse_minor_axis,28.912988662719727,pixels
plant2,ellipse_angle,106.06175231933594,degrees
plant2,ellipse_eccentricity,0.7419376993778746,none
plant3,in_bounds,1,none
plant3,area,985.0,pixels
plant3,convex_hull_area,1034.0,pixels
plant3,solidity,0.9526112185686654,none
plant3,perimeter,137.15432798862457,pixels
plant3,width,43,pixels
plant3,height,32,pixels
plant3,longest_path,331,pixels
plant3,center_of_mass,609.8710659898477,x
plant3,center_of_mass,141.1187817258883,y
plant3,convex_hull_vertices,17,none
plant3,object_in_frame,1,none
plant3,ellipse_center,609.857666015625,x
plant3,ellipse_center,141.2035675048828,y
plant3,ellipse_major_axis,44.029754638671875,pixels
plant3,ellipse_minor_axis,28.404048919677734,pixels
plant3,ellipse_angle,116.03060913085938,degrees
plant3,ellipse_eccentricity,0.7640894453168982,none
plant4,in_bounds,1,none
plant4,area,1126.0,pixels
plant4,convex_hull_area,1136.5,pixels
plant4,solidity,0.99076110866696,none
plant4,perimeter,135.15432798862457,pixels
plant4,width,41,pixels
plant4,height,36,pixels
plant4,longest_path,281,pixels
plant4,center_of_mass,767.7984014209592,x
plant4,center_of_mass,145.0683836589698,y
plant4,convex_hull_vertices,20,none
plant4,object_in_frame,1,none
plant4,ellipse_center,767.9517822265625,x
plant4,ellipse_center,145.01025390625,y
plant4,ellipse_major_axis,40.664939880371094,pixels
plant4,ellipse_minor_axis,35.39693069458008,pixels
plant4,ellipse_angle,107.1858139038086,degrees
plant4,ellipse_eccentricity,0.4922510238073542,none
plant5,in_bounds,1,none
plant5,area,856.0,pixels
plant5,convex_hull_area,854.5,pixels
plant5,solidity,1.0017554125219426,none
plant5,perimeter,116.56854152679443,pixels
plant5,width,38,pixels
plant5,height,32,pixels
plant5,longest_path,260,pixels
plant5,center_of_mass,924.0163551401869,x
plant5,center_of_mass,146.30607476635515,y
plant5,convex_hull_vertices,19,none
plant5,object_in_frame,1,none
plant5,ellipse_center,924.0595703125,x
plant5,ellipse_center,146.4713897705078,y
plant5,ellipse_major_axis,37.60212707519531,pixels
plant5,ellipse_minor_axis,28.974334716796875,pixels
plant5,ellipse_angle,100.05426025390625,degrees
plant5,ellipse_eccentricity,0.6373790505545169,none
plant6,in_bounds,1,none
plant6,area,1177.0,pixels
plant6,convex_hull_area,1223.5,pixels
plant6,solidity,0.9619942787086228,none
plant6,perimeter,142.56854152679443,pixels
plant6,width,45,pixels
plant6,height,39,pixels
plant6,longest_path,298,pixels
plant6,center_of_mass,1078.5250637213253,x
plant6,center_of_mass,148.5199660152931,y
plant6,convex_hull_vertices,18,none
plant6,object_in_frame,1,none
plant6,ellipse_center,1078.65380859375,x
plant6,ellipse_center,148.56045532226562,y
plant6,ellipse_major_axis,46.23424530029297,pixels
plant6,ellipse_minor_axis,34.366546630859375,pixels
plant6,ellipse_angle,109.9987564086914,degrees
plant6,ellipse_eccentricity,0.6689430360760652,none
plant7,in_bounds,1,none
plant7,area,997.0,pixels
plant7,convex_hull_area,1038.5,pixels
plant7,solidity,0.9600385170919595,none
plant7,perimeter,133.7401144504547,pixels
plant7,width,45,pixels
plant7,height,33,pixels
plant7,longest_path,319,pixels
plant7,center_of_mass,1240.6188565697091,x
plant7,center_of_mass,146.18054162487462,y
plant7,convex_hull_vertices,17,none
plant7,object_in_frame,1,none
plant7,ellipse_center,1240.7352294921875,x
plant7,ellipse_center,146.23721313476562,y
plant7,ellipse_major_axis,45.75259780883789,pixels
plant7,ellipse_minor_axis,28.72517204284668,pixels
plant7,ellipse_angle,68.15159606933594,degrees
plant7,ellipse_eccentricity,0.7783448774788205,none
plant8,in_bounds,1,none
plant8,area,1108.0,pixels
plant8,convex_hull_area,1124.0,pixels
plant8,solidity,0.9857651245551602,none
plant8,perimeter,132.32590091228485,pixels
plant8,width,45,pixels
plant8,height,34,pixels
plant8,longest_path,311,pixels
plant8,center_of_mass,1397.1471119133573,x
plant8,center_of_mass,148.29873646209387,y
plant8,convex_hull_vertices,19,none
plant8,object_in_frame,1,none
plant8,ellipse_center,1397.031982421875,x
plant8,ellipse_center,148.3090362548828,y
plant8,ellipse_major_axis,43.7704963684082,pixels
plant8,ellipse_minor_axis,31.84465789794922,pixels
plant8,ellipse_angle,98.54559326171875,degrees
plant8,ellipse_eccentricity,0.6860683914773253,none
plant9,in_bounds,1,none
plant9,area,1076.0,pixels
plant9,convex_hull_area,1147.5,pixels
plant9,solidity,0.9376906318082788,none
plant9,perimeter,141.0538227558136,pixels
plant9,width,45,pixels
plant9,height,36,pixels
plant9,longest_path,308,pixels
plant9,center_of_mass,1560.9618959107806,x
plant9,center_of_mass,146.42657992565057,y
plant9,convex_hull_vertices,20,none
plant9,object_in_frame,1,none
plant9,ellipse_center,1561.1888427734375,x
plant9,ellipse_center,146.35044860839844,y
plant9,ellipse_major_axis,42.66637420654297,pixels
plant9,ellipse_minor_axis,32.60213851928711,pixels
plant9,ellipse_angle,92.13337707519531,degrees
plant9,ellipse_eccentricity,0.6450766599594813,none
plant10,in_bounds,1,none
plant10,area,1155.0,pixels
plant10,convex_hull_area,1423.5,pixels
plant10,solidity,0.8113804004214963,none
plant10,perimeter,193.92387998104095,pixels
plant10,width,63,pixels
plant10,height,34,pixels
plant10,longest_path,452,pixels
plant10,center_of_mass,1733.0597402597402,x
plant10,center_of_mass,145.95497835497835,y
plant10,convex_hull_vertices,17,none
plant10,object_in_frame,1,none
plant10,ellipse_center,1732.16455078125,x
plant10,ellipse_center,145.94602966308594,y
plant10,ellipse_major_axis,67.22542572021484,pixels
plant10,ellipse_minor_axis,27.493722915649414,pixels
plant10,ellipse_angle,72.51351165771484,degrees
plant10,ellipse_eccentricity,0.912544224675975,none
plant11,in_bounds,1,none
plant11,area,1390.0,pixels
plant11,convex_hull_area,1741.0,pixels
plant11,solidity,0.7983917288914417,none
plant11,perimeter,195.92387998104095,pixels
plant11,width,58,pixels
plant11,height,46,pixels
plant11,longest_path,386,pixels
plant11,center_of_mass,130.81870503597122,x
plant11,center_of_mass,290.76978417266184,y
plant11,convex_hull_vertices,19,none
plant11,object_in_frame,1,none
plant11,ellipse_center,128.8439178466797,x
plant11,ellipse_center,289.3335876464844,y
plant11,ellipse_major_axis,53.84524917602539,pixels
plant11,ellipse_minor_axis,40.31706237792969,pixels
plant11,ellipse_angle,92.73545837402344,degrees
plant11,ellipse_eccentricity,0.6628434365741008,none
plant12,in_bounds,1,none
plant12,area,1108.0,pixels
plant12,convex_hull_area,1190.0,pixels
plant12,solidity,0.9310924369747899,none
plant12,perimeter,151.78174459934235,pixels
plant12,width,50,pixels
plant12,height,39,pixels
plant12,longest_path,353,pixels
plant12,center_of_mass,296.06317689530687,x
plant12,center_of_mass,292.5379061371841,y
plant12,convex_hull_vertices,18,none
plant12,object_in_frame,1,none
plant12,ellipse_center,296.1841735839844,x
plant12,ellipse_center,292.7732849121094,y
plant12,ellipse_major_axis,51.661659240722656,pixels
plant12,ellipse_minor_axis,28.52870750427246,pixels
plant12,ellipse_angle,114.18820190429688,degrees
plant12,ellipse_eccentricity,0.8336970700876432,none
plant13,in_bounds,1,none
plant13,area,1473.0,pixels
plant13,convex_hull_area,1648.0,pixels
plant13,solidity,0.8938106796116505,none
plant13,perimeter,179.92387998104095,pixels
plant13,width,51,pixels
plant13,height,50,pixels
plant13,longest_path,362,pixels
plant13,center_of_mass,454.2797012898846,x
plant13,center_of_mass,295.72165648336727,y
plant13,convex_hull_vertices,19,none
plant13,object_in_frame,1,none
plant13,ellipse_center,454.68646240234375,x
plant13,ellipse_center,295.60760498046875,y
plant13,ellipse_major_axis,48.15510559082031,pixels
plant13,ellipse_minor_axis,42.72785568237305,pixels
plant13,ellipse_angle,58.718997955322266,degrees
plant13,ellipse_eccentricity,0.4611994760054373,none
plant14,in_bounds,1,none
plant14,area,878.0,pixels
plant14,convex_hull_area,882.5,pixels
plant14,solidity,0.9949008498583569,none
plant14,perimeter,118.32590091228485,pixels
plant14,width,36,pixels
plant14,height,36,pixels
plant14,longest_path,293,pixels
plant14,center_of_mass,616.1548974943053,x
plant14,center_of_mass,296.1503416856492,y
plant14,convex_hull_vertices,15,none
plant14,object_in_frame,1,none
plant14,ellipse_center,616.281005859375,x
plant14,ellipse_center,296.18084716796875,y
plant14,ellipse_major_axis,40.377044677734375,pixels
plant14,ellipse_minor_axis,27.55191421508789,pixels
plant14,ellipse_angle,135.09945678710938,degrees
plant14,ellipse_eccentricity,0.7310108898019736,none
plant15,in_bounds,1,none
plant15,area,747.0,pixels
plant15,convex_hull_area,745.5,pixels
plant15,solidity,1.0020120724346075,none
plant15,perimeter,108.32590091228485,pixels
plant15,width,30,pixels
plant15,height,36,pixels
plant15,longest_path,242,pixels
plant15,center_of_mass,769.5327978580991,x
plant15,center_of_mass,301.57161981258366,y
