index,plant_id,tray_id,plant_width (px),plant_width(mm),ns_lenght (mm),error_nslenght,plant_height (px),plant_height (mm),we_lenght(mm),error_welenght
1,plant0,1,46,58.97,35.05,23.92,35,44.87,39.07,5.80
2,plant1,1,36,46.15,37.82,8.33,38,48.72,45.43,3.29
3,plant2,1,41,52.56,49.97,2.59,33,42.31,45.34,3.03
4,plant3,1,45,57.69,58.36,0.67,34,43.59,44.31,0.72
5,plant4,1,41,52.56,58.42,5.86,29,37.18,38.2,1.02
6,plant5,1,42,53.85,57.8,3.95,48,61.54,63.9,2.36
7,plant6,1,32,41.03,38.99,2.04,42,53.85,55.39,1.54
8,plant7,1,45,57.69,56.21,1.48,38,48.72,54.07,5.35
9,plant8,1,50,64.10,56.32,7.78,41,52.56,47.77,4.79
10,plant9,1,59,75.64,51.5,24.14,37,47.44,48.92,1.48
11,plant10,1,66,84.62,50.6,34.02,49,62.82,60.38,2.44
12,plant11,1,44,56.41,31.85,24.56,37,47.44,51.7,4.26
13,plant12,1,51,65.38,58.43,6.95,34,43.59,44.08,0.49
14,plant13,1,48,61.54,56.94,4.60,43,55.13,65.53,10.40
15,plant14,1,35,44.87,34.57,10.30,31,39.74,31.43,8.31
16,plant15,1,37,47.44,52.99,5.55,33,42.31,43.75,1.44
17,plant16,1,31,39.74,44.45,4.71,32,41.03,38.32,2.71
18,plant17,1,46,58.97,54.29,4.68,50,64.10,66.96,2.86
19,plant18,1,36,46.15,52.93,6.78,31,39.74,38.23,1.51
20,plant19,1,49,62.82,57.38,5.44,45,57.69,55.96,1.73
21,plant20,1,52,66.67,52.41,14.26,39,50.00,59.63,9.63
22,plant21,1,64,82.05,48.52,33.53,38,48.72,50.31,1.59
23,plant22,1,51,65.38,46.47,18.91,41,52.56,55.81,3.25
24,plant23,1,50,64.10,54.42,9.68,35,44.87,46.52,1.65
25,plant24,1,34,43.59,43.32,0.27,34,43.59,48.83,5.24
26,plant25,1,45,57.69,55.83,1.86,31,39.74,43.66,3.92
27,plant26,1,32,41.03,43.29,2.26,30,38.46,49.75,11.29
28,plant27,1,33,42.31,47.59,5.28,29,37.18,38.25,1.07
29,plant28,1,40,51.28,56.27,4.99,34,43.59,53.24,9.65
30,plant29,1,41,52.56,40.08,12.48,35,44.87,39.57,5.30
31,plant30,1,49,62.82,51.09,11.73,44,56.41,60.3,3.89
32,plant31,1,48,61.54,48.6,12.94,40,51.28,54.38,3.10
33,plant32,1,55,70.51,46.28,24.23,44,56.41,59.62,3.21
34,plant33,1,51,65.38,28.58,36.80,40,51.28,55.4,4.12
35,plant34,1,44,56.41,46,10.41,36,46.15,48.26,2.11
36,plant35,1,47,60.26,60.04,0.22,33,42.31,31.97,10.34
37,plant36,1,45,57.69,62.1,4.41,36,46.15,50.88,4.73
38,plant37,1,32,41.03,39.06,1.97,33,42.31,47.44,5.13
39,plant38,1,32,41.03,47.43,6.40,41,52.56,54.26,1.70
40,plant39,1,32,41.03,47.8,6.77,33,42.31,48.46,6.15
41,plant40,1,45,57.69,52.86,4.83,40,51.28,56.59,5.31
42,plant41,1,43,55.13,54.71,0.42,32,41.03,36.18,4.85
43,plant42,1,39,50.00,25.21,24.79,35,44.87,36.01,8.86
44,plant43,1,60,76.92,57.23,19.69,40,51.28,46.11,5.17
45,plant44,1,65,83.33,50.23,33.10,40,51.28,52.8,1.52
46,plant45,1,40,51.28,47.12,4.16,31,39.74,32.65,7.09
47,plant46,1,34,43.59,38.62,4.97,37,47.44,51.32,3.88
48,plant47,1,31,39.74,36.59,3.15,29,37.18,46.73,9.55
49,plant48,1,38,48.72,53.77,5.05,32,41.03,34.18,6.85
50,plant49,1,27,34.62,27.82,6.80,23,29.49,36.6,7.11
51,plant50,1,28,35.90,28.2,7.70,31,39.74,42.18,2.44
