,plant_max_temp,plant_min_temp,plant_mean_temp,plant_median_temp,plant_thermal_frequencies
0,1251.0,1233.0,1241.2865168539327,1241.0,"[0.11235955056179776, 0.0, 0.0, 0.0, 0.0, 0.7865168539325843, 0.0, 0.0, 0.0, 0.0, 0.0, 2.134831460674157, 0.0, 0.0, 0.0, 0.0, 4.382022471910112, 0.0, 0.0, 0.0, 0.0, 0.0, 5.056179775280898, 0.0, 0.0, 0.0, 0.0, 8.876404494382022, 0.0, 0.0, 0.0, 0.0, 0.0, 11.685393258426966, 0.0, 0.0, 0.0, 0.0, 10.337078651685392, 0.0, 0.0, 0.0, 0.0, 0.0, 11.123595505617978, 0.0, 0.0, 0.0, 0.0, 0.0, 9.213483146067416, 0.0, 0.0, 0.0, 0.0, 10.89887640449438, 0.0, 0.0, 0.0, 0.0, 0.0, 6.741573033707865, 0.0, 0.0, 0.0, 0.0, 6.292134831460674, 0.0, 0.0, 0.0, 0.0, 0.0, 5.056179775280898, 0.0, 0.0, 0.0, 0.0, 4.382022471910112, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7977528089887642, 0.0, 0.0, 0.0, 0.0, 0.5617977528089888, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33707865168539325, 0.0, 0.0, 0.0, 0.0, 0.22471910112359553]"
1,1251.0,1230.0,1239.96548004315,1240.0,"[0.2157497303128371, 0.0, 0.0, 0.0, 0.8629989212513484, 0.0, 0.0, 0.0, 0.0, 1.2944983818770228, 0.0, 0.0, 0.0, 0.0, 3.7756202804746493, 0.0, 0.0, 0.0, 0.0, 7.335490830636461, 0.0, 0.0, 0.0, 8.414239482200648, 0.0, 0.0, 0.0, 0.0, 7.5512405609492985, 0.0, 0.0, 0.0, 0.0, 6.903991370010787, 0.0, 0.0, 0.0, 0.0, 7.659115426105717, 0.0, 0.0, 0.0, 5.825242718446602, 0.0, 0.0, 0.0, 0.0, 5.285868392664509, 0.0, 0.0, 0.0, 0.0, 5.501618122977346, 0.0, 0.0, 0.0, 0.0, 5.93311758360302, 0.0, 0.0, 0.0, 5.501618122977346, 0.0, 0.0, 0.0, 0.0, 5.501618122977346, 0.0, 0.0, 0.0, 0.0, 7.119741100323624, 0.0, 0.0, 0.0, 0.0, 5.070118662351672, 0.0, 0.0, 0.0, 6.472491909385113, 0.0, 0.0, 0.0, 0.0, 1.6181229773462782, 0.0, 0.0, 0.0, 0.0, 0.7551240560949299, 0.0, 0.0, 0.0, 0.0, 0.9708737864077669, 0.0, 0.0, 0.0, 0.4314994606256742]"
2,1247.0,1232.0,1239.347236704901,1240.0,"[0.8342022940563086, 0.0, 0.0, 0.0, 0.0, 0.0, 4.066736183524505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.071949947862358, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.569343065693431, 0.0, 0.0, 0.0, 0.0, 0.0, 6.047966631908238, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.213764337851929, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.943691345151199, 0.0, 0.0, 0.0, 0.0, 0.0, 6.152241918665276, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.991657977059438, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.531803962460897, 0.0, 0.0, 0.0, 0.0, 0.0, 12.200208550573514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.740354535974973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.882168925964546, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6068821689259645, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7299270072992701, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4171011470281543]"
3,1248.0,1231.0,1239.593528816987,1240.0,"[0.3033367037411527, 0.0, 0.0, 0.0, 0.0, 1.1122345803842264, 0.0, 0.0, 0.0, 0.0, 0.0, 2.730030333670374, 0.0, 0.0, 0.0, 0.0, 0.0, 2.62891809908999, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1344792719919106, 0.0, 0.0, 0.0, 0.0, 0.0, 7.077856420626897, 0.0, 0.0, 0.0, 0.0, 0.0, 6.774519716885743, 0.0, 0.0, 0.0, 0.0, 0.0, 8.897876643073811, 0.0, 0.0, 0.0, 0.0, 0.0, 13.245702730030334, 0.0, 0.0, 0.0, 0.0, 14.256825075834175, 0.0, 0.0, 0.0, 0.0, 0.0, 14.459049544994945, 0.0, 0.0, 0.0, 0.0, 0.0, 9.908998988877654, 0.0, 0.0, 0.0, 0.0, 0.0, 5.358948432760364, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9433771486349847, 0.0, 0.0, 0.0, 0.0, 0.0, 3.2355915065722956, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7189079878665317, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1122345803842264, 0.0, 0.0, 0.0, 0.0, 0.10111223458038424]"
4,1247.0,1228.0,1237.6241956241956,1238.0,"[0.6435006435006435, 0.0, 0.0, 0.0, 0.0, 2.0592020592020592, 0.0, 0.0, 0.0, 0.0, 3.2175032175032174, 0.0, 0.0, 0.0, 0.0, 2.574002574002574, 0.0, 0.0, 0.0, 0.0, 0.0, 2.9601029601029603, 0.0, 0.0, 0.0, 0.0, 4.375804375804376, 0.0, 0.0, 0.0, 0.0, 5.9202059202059205, 0.0, 0.0, 0.0, 0.0, 9.395109395109396, 0.0, 0.0, 0.0, 0.0, 0.0, 9.00900900900901, 0.0, 0.0, 0.0, 0.0, 7.207207207207207, 0.0, 0.0, 0.0, 0.0, 7.4646074646074645, 0.0, 0.0, 0.0, 0.0, 10.682110682110682, 0.0, 0.0, 0.0, 0.0, 0.0, 8.236808236808237, 0.0, 0.0, 0.0, 0.0, 7.078507078507079, 0.0, 0.0, 0.0, 0.0, 7.722007722007722, 0.0, 0.0, 0.0, 0.0, 4.633204633204633, 0.0, 0.0, 0.0, 0.0, 0.0, 3.2175032175032174, 0.0, 0.0, 0.0, 0.0, 2.8314028314028317, 0.0, 0.0, 0.0, 0.0, 0.6435006435006435, 0.0, 0.0, 0.0, 0.0, 0.1287001287001287]"
5,1244.0,1227.0,1235.7088055797733,1236.0,"[0.5231037489102005, 0.0, 0.0, 0.0, 0.0, 1.2205754141238012, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1333914559721012, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2205754141238012, 0.0, 0.0, 0.0, 0.0, 0.0, 3.051438535309503, 0.0, 0.0, 0.0, 0.0, 0.0, 5.231037489102005, 0.0, 0.0, 0.0, 0.0, 0.0, 7.933740191804708, 0.0, 0.0, 0.0, 0.0, 0.0, 11.421098517872712, 0.0, 0.0, 0.0, 0.0, 0.0, 13.077593722755013, 0.0, 0.0, 0.0, 0.0, 15.780296425457715, 0.0, 0.0, 0.0, 0.0, 0.0, 13.251961639058413, 0.0, 0.0, 0.0, 0.0, 0.0, 8.892763731473408, 0.0, 0.0, 0.0, 0.0, 0.0, 8.54402789886661, 0.0, 0.0, 0.0, 0.0, 0.0, 5.3182214472537055, 0.0, 0.0, 0.0, 0.0, 0.0, 2.528334786399302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4359197907585004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17436791630340018, 0.0, 0.0, 0.0, 0.0, 0.26155187445510025]"
6,1239.0,1221.0,1230.9452887537993,1232.0,"[0.4052684903748734, 0.0, 0.0, 0.0, 0.0, 1.7223910840932117, 0.0, 0.0, 0.0, 0.0, 0.0, 2.43161094224924, 0.0, 0.0, 0.0, 0.0, 2.532928064842958, 0.0, 0.0, 0.0, 0.0, 0.0, 2.9381965552178317, 0.0, 0.0, 0.0, 0.0, 4.052684903748734, 0.0, 0.0, 0.0, 0.0, 0.0, 3.343465045592705, 0.0, 0.0, 0.0, 0.0, 4.86322188449848, 0.0, 0.0, 0.0, 0.0, 0.0, 7.3961499493414395, 0.0, 0.0, 0.0, 0.0, 0.0, 8.814589665653495, 0.0, 0.0, 0.0, 0.0, 11.246200607902736, 0.0, 0.0, 0.0, 0.0, 0.0, 11.651469098277609, 0.0, 0.0, 0.0, 0.0, 13.069908814589665, 0.0, 0.0, 0.0, 0.0, 0.0, 11.854103343465045, 0.0, 0.0, 0.0, 0.0, 6.281661600810537, 0.0, 0.0, 0.0, 0.0, 0.0, 4.154002026342452, 0.0, 0.0, 0.0, 0.0, 1.7223910840932117, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0131712259371835, 0.0, 0.0, 0.0, 0.0, 0.5065856129685917]"
7,1240.0,1221.0,1229.8976868327402,1230.0,"[0.1779359430604982, 0.0, 0.0, 0.0, 0.0, 1.1565836298932384, 0.0, 0.0, 0.0, 0.0, 2.6690391459074734, 0.0, 0.0, 0.0, 0.0, 4.6263345195729535, 0.0, 0.0, 0.0, 0.0, 0.0, 5.6939501779359425, 0.0, 0.0, 0.0, 0.0, 6.93950177935943, 0.0, 0.0, 0.0, 0.0, 8.274021352313166, 0.0, 0.0, 0.0, 0.0, 9.9644128113879, 0.0, 0.0, 0.0, 0.0, 0.0, 9.341637010676157, 0.0, 0.0, 0.0, 0.0, 8.007117437722421, 0.0, 0.0, 0.0, 0.0, 8.09608540925267, 0.0, 0.0, 0.0, 0.0, 7.206405693950178, 0.0, 0.0, 0.0, 0.0, 0.0, 6.850533807829182, 0.0, 0.0, 0.0, 0.0, 6.672597864768683, 0.0, 0.0, 0.0, 0.0, 5.960854092526691, 0.0, 0.0, 0.0, 0.0, 3.7366548042704624, 0.0, 0.0, 0.0, 0.0, 0.0, 2.580071174377224, 0.0, 0.0, 0.0, 0.0, 1.1565836298932384, 0.0, 0.0, 0.0, 0.0, 0.800711743772242, 0.0, 0.0, 0.0, 0.0, 0.0889679715302491]"
8,1237.0,1215.0,1224.2946357085668,1224.0,"[0.16012810248198558, 0.0, 0.0, 0.0, 1.3610888710968776, 0.0, 0.0, 0.0, 0.0, 4.403522818254603, 0.0, 0.0, 0.0, 6.405124099279423, 0.0, 0.0, 0.0, 0.0, 5.524419535628502, 0.0, 0.0, 0.0, 8.246597277822259, 0.0, 0.0, 0.0, 0.0, 7.205764611689351, 0.0, 0.0, 0.0, 5.2842273819055245, 0.0, 0.0, 0.0, 0.0, 6.084867894315452, 0.0, 0.0, 0.0, 6.164931945556445, 0.0, 0.0, 0.0, 0.0, 8.486789431545235, 0.0, 0.0, 0.0, 0.0, 8.246597277822259, 0.0, 0.0, 0.0, 6.084867894315452, 0.0, 0.0, 0.0, 0.0, 5.044035228182546, 0.0, 0.0, 0.0, 6.325060048038431, 0.0, 0.0, 0.0, 0.0, 5.2842273819055245, 0.0, 0.0, 0.0, 3.522818254603683, 0.0, 0.0, 0.0, 0.0, 2.0816653322658127, 0.0, 0.0, 0.0, 1.3610888710968776, 0.0, 0.0, 0.0, 0.0, 1.120896717373899, 0.0, 0.0, 0.0, 0.9607686148919135, 0.0, 0.0, 0.0, 0.0, 0.4803843074459567, 0.0, 0.0, 0.0, 0.16012810248198558]"
9,1237.0,1208.0,1220.2043189368771,1220.0,"[0.41528239202657813, 0.0, 0.0, 0.8305647840531563, 0.0, 0.0, 1.1627906976744187, 0.0, 0.0, 0.0, 1.6611295681063125, 0.0, 0.0, 3.9867109634551494, 0.0, 0.0, 0.0, 3.488372093023256, 0.0, 0.0, 4.318936877076411, 0.0, 0.0, 0.0, 4.485049833887043, 0.0, 0.0, 4.817275747508306, 0.0, 0.0, 0.0, 5.398671096345515, 0.0, 0.0, 6.4784053156146175, 0.0, 0.0, 9.883720930232558, 0.0, 0.0, 0.0, 8.222591362126245, 0.0, 0.0, 6.395348837209303, 0.0, 0.0, 0.0, 5.897009966777408, 0.0, 0.0, 5.813953488372093, 0.0, 0.0, 0.0, 5.232558139534884, 0.0, 0.0, 4.485049833887043, 0.0, 0.0, 0.0, 4.568106312292359, 0.0, 0.0, 3.6544850498338874, 0.0, 0.0, 2.1594684385382057, 0.0, 0.0, 0.0, 1.495016611295681, 0.0, 0.0, 1.744186046511628, 0.0, 0.0, 0.0, 0.7475083056478405, 0.0, 0.0, 0.7475083056478405, 0.0, 0.0, 0.0, 0.9136212624584719, 0.0, 0.0, 0.4983388704318937, 0.0, 0.0, 0.0, 0.16611295681063123, 0.0, 0.0, 0.24916943521594684, 0.0, 0.0, 0.08305647840531562]"
