sample,trait,value,label
plant0,in_bounds,1,none
plant0,area,1432.0,pixels
plant0,convex_hull_area,2160.5,pixels
plant0,solidity,0.6628095348299005,none
plant0,perimeter,359.74070942401886,pixels
plant0,width,70,pixels
plant0,height,53,pixels
plant0,longest_path,516,pixels
plant0,center_of_mass,147.26117318435755,x
plant0,center_of_mass,263.8756983240223,y
plant0,convex_hull_vertices,19,none
plant0,object_in_frame,1,none
plant0,ellipse_center,151.1363525390625,x
plant0,ellipse_center,265.7896728515625,y
plant0,ellipse_major_axis,74.77184295654297,pixels
plant0,ellipse_minor_axis,33.29930877685547,pixels
plant0,ellipse_angle,119.65706634521484,degrees
plant0,ellipse_eccentricity,0.8953587695414622,none
plant1,in_bounds,1,none
plant1,area,1359.0,pixels
plant1,convex_hull_area,1763.5,pixels
plant1,solidity,0.7706265948398072,none
plant1,perimeter,309.70175421237946,pixels
plant1,width,47,pixels
plant1,height,70,pixels
plant1,longest_path,511,pixels
plant1,center_of_mass,430.07799852832966,x
plant1,center_of_mass,271.2141280353201,y
plant1,convex_hull_vertices,22,none
plant1,object_in_frame,1,none
plant1,ellipse_center,430.0268249511719,x
plant1,ellipse_center,271.0908203125,y
plant1,ellipse_major_axis,78.35980224609375,pixels
plant1,ellipse_minor_axis,26.813480377197266,pixels
plant1,ellipse_angle,28.688142776489258,degrees
plant1,ellipse_eccentricity,0.9396329200846277,none
plant2,in_bounds,1,none
plant2,area,1542.0,pixels
plant2,convex_hull_area,2104.0,pixels
plant2,solidity,0.7328897338403042,none
plant2,perimeter,326.9530427455902,pixels
plant2,width,58,pixels
plant2,height,70,pixels
plant2,longest_path,541,pixels
plant2,center_of_mass,672.852140077821,x
plant2,center_of_mass,283.05252918287937,y
plant2,convex_hull_vertices,20,none
plant2,object_in_frame,1,none
plant2,ellipse_center,672.663330078125,x
plant2,ellipse_center,282.5837707519531,y
plant2,ellipse_major_axis,85.40022277832031,pixels
plant2,ellipse_minor_axis,29.628416061401367,pixels
plant2,ellipse_angle,34.583595275878906,degrees
plant2,ellipse_eccentricity,0.9378887867893184,none
plant3,in_bounds,1,none
plant3,area,2099.0,pixels
plant3,convex_hull_area,2611.0,pixels
plant3,solidity,0.8039065492148602,none
plant3,perimeter,375.8810546398163,pixels
plant3,width,63,pixels
plant3,height,75,pixels
plant3,longest_path,536,pixels
plant3,center_of_mass,929.2005717008099,x
plant3,center_of_mass,262.8732729871367,y
plant3,convex_hull_vertices,21,none
plant3,object_in_frame,1,none
plant3,ellipse_center,928.860107421875,x
plant3,ellipse_center,262.1152648925781,y
plant3,ellipse_major_axis,88.8648452758789,pixels
plant3,ellipse_minor_axis,35.10873031616211,pixels
plant3,ellipse_angle,143.49728393554688,degrees
plant3,ellipse_eccentricity,0.9186466835423901,none
plant4,in_bounds,1,none
plant4,area,2402.0,pixels
plant4,convex_hull_area,2880.5,pixels
plant4,solidity,0.8338830064224961,none
plant4,perimeter,380.38088750839233,pixels
plant4,width,89,pixels
plant4,height,59,pixels
plant4,longest_path,672,pixels
plant4,center_of_mass,1186.0004163197336,x
plant4,center_of_mass,257.9970857618651,y
plant4,convex_hull_vertices,24,none
plant4,object_in_frame,1,none
plant4,ellipse_center,1184.908203125,x
plant4,ellipse_center,257.2906799316406,y
plant4,ellipse_major_axis,105.72223663330078,pixels
plant4,ellipse_minor_axis,34.05491638183594,pixels
plant4,ellipse_angle,115.86122131347656,degrees
plant4,ellipse_eccentricity,0.9466999099253183,none
plant5,in_bounds,1,none
plant5,area,2502.0,pixels
plant5,convex_hull_area,2864.0,pixels
plant5,solidity,0.8736033519553073,none
plant5,perimeter,271.8650048971176,pixels
plant5,width,44,pixels
plant5,height,91,pixels
plant5,longest_path,647,pixels
plant5,center_of_mass,1447.3121502797762,x
plant5,center_of_mass,252.02158273381295,y
plant5,convex_hull_vertices,28,none
plant5,object_in_frame,1,none
plant5,ellipse_center,1446.90771484375,x
plant5,ellipse_center,251.4434814453125,y
plant5,ellipse_major_axis,101.75138092041016,pixels
plant5,ellipse_minor_axis,35.05058288574219,pixels
plant5,ellipse_angle,168.25340270996094,degrees
plant5,ellipse_eccentricity,0.938796299225724,none
plant6,in_bounds,1,none
plant6,area,1258.0,pixels
plant6,convex_hull_area,1703.5,pixels
plant6,solidity,0.7384796008218374,none
plant6,perimeter,299.8543162345886,pixels
plant6,width,70,pixels
plant6,height,30,pixels
plant6,longest_path,485,pixels
plant6,center_of_mass,1703.9801271860094,x
plant6,center_of_mass,264.9260731319555,y
plant6,convex_hull_vertices,20,none
plant6,object_in_frame,1,none
plant6,ellipse_center,1703.438232421875,x
plant6,ellipse_center,264.4707946777344,y
plant6,ellipse_major_axis,73.51555633544922,pixels
plant6,ellipse_minor_axis,27.706409454345703,pixels
plant6,ellipse_angle,89.58267211914062,degrees
plant6,ellipse_eccentricity,0.9262628317783014,none
plant7,in_bounds,1,none
plant7,area,2283.0,pixels
plant7,convex_hull_area,2730.5,pixels
plant7,solidity,0.836110602453763,none
plant7,perimeter,265.2792184352875,pixels
plant7,width,64,pixels
plant7,height,85,pixels
plant7,longest_path,634,pixels
plant7,center_of_mass,1947.8335523434077,x
plant7,center_of_mass,235.9053876478318,y
plant7,convex_hull_vertices,25,none
plant7,object_in_frame,1,none
plant7,ellipse_center,1947.7578125,x
plant7,ellipse_center,235.4418182373047,y
plant7,ellipse_major_axis,104.08829498291016,pixels
plant7,ellipse_minor_axis,32.23383712768555,pixels
plant7,ellipse_angle,33.3431282043457,degrees
plant7,ellipse_eccentricity,0.950841544497887,none
plant8,in_bounds,1,none
plant8,area,1451.0,pixels
plant8,convex_hull_area,1993.0,pixels
plant8,solidity,0.7280481685900653,none
plant8,perimeter,347.4504824876785,pixels
plant8,width,37,pixels
plant8,height,78,pixels
plant8,longest_path,543,pixels
plant8,center_of_mass,2214.631288766368,x
plant8,center_of_mass,247.39696760854582,y
plant8,convex_hull_vertices,23,none
plant8,object_in_frame,1,none
plant8,ellipse_center,2214.2841796875,x
plant8,ellipse_center,248.7126922607422,y
plant8,ellipse_major_axis,78.8555908203125,pixels
plant8,ellipse_minor_axis,29.43171501159668,pixels
plant8,ellipse_angle,171.4188995361328,degrees
plant8,ellipse_eccentricity,0.9277365870655437,none
plant9,in_bounds,1,none
plant9,area,1734.0,pixels
plant9,convex_hull_area,1902.0,pixels
plant9,solidity,0.9116719242902208,none
plant9,perimeter,193.23758828639984,pixels
plant9,width,51,pixels
plant9,height,62,pixels
plant9,longest_path,477,pixels
plant9,center_of_mass,2478.291810841984,x
plant9,center_of_mass,257.41061130334487,y
plant9,convex_hull_vertices,23,none
plant9,object_in_frame,1,none
plant9,ellipse_center,2478.73193359375,x
plant9,ellipse_center,256.9762878417969,y
plant9,ellipse_major_axis,71.6391372680664,pixels
plant9,ellipse_minor_axis,32.608089447021484,pixels
plant9,ellipse_angle,29.607933044433594,degrees
plant9,ellipse_eccentricity,0.8904038173588907,none
plant10,in_bounds,1,none
plant10,area,2135.0,pixels
plant10,convex_hull_area,2795.5,pixels
plant10,solidity,0.7637274190663567,none
plant10,perimeter,369.3088059425354,pixels
plant10,width,87,pixels
plant10,height,46,pixels
plant10,longest_path,600,pixels
plant10,center_of_mass,2708.8997658079625,x
plant10,center_of_mass,252.69414519906323,y
plant10,convex_hull_vertices,18,none
plant10,object_in_frame,1,none
plant10,ellipse_center,2709.983642578125,x
plant10,ellipse_center,252.17532348632812,y
plant10,ellipse_major_axis,94.79586791992188,pixels
plant10,ellipse_minor_axis,36.26414489746094,pixels
plant10,ellipse_angle,101.1578140258789,degrees
plant10,ellipse_eccentricity,0.9239348535061613,none
plant11,in_bounds,1,none
plant11,area,2248.0,pixels
plant11,convex_hull_area,2712.5,pixels
plant11,solidity,0.8287557603686636,none
plant11,perimeter,271.90663504600525,pixels
plant11,width,87,pixels
plant11,height,40,pixels
plant11,longest_path,596,pixels
plant11,center_of_mass,3005.0551601423485,x
plant11,center_of_mass,245.0502669039146,y
plant11,convex_hull_vertices,24,none
plant11,object_in_frame,1,none
plant11,ellipse_center,3006.265380859375,x
plant11,ellipse_center,244.8610076904297,y
plant11,ellipse_major_axis,89.53193664550781,pixels
plant11,ellipse_minor_axis,36.30900573730469,pixels
plant11,ellipse_angle,85.31483459472656,degrees
plant11,ellipse_eccentricity,0.9140761881772257,none
plant12,in_bounds,1,none
plant12,area,2793.0,pixels
plant12,convex_hull_area,3547.5,pixels
plant12,solidity,0.7873150105708245,none
plant12,perimeter,415.3798472881317,pixels
plant12,width,84,pixels
plant12,height,80,pixels
plant12,longest_path,667,pixels
plant12,center_of_mass,3234.279985678482,x
plant12,center_of_mass,248.828141783029,y
plant12,convex_hull_vertices,25,none
plant12,object_in_frame,1,none
plant12,ellipse_center,3234.38623046875,x
plant12,ellipse_center,247.81869506835938,y
plant12,ellipse_major_axis,109.82330322265625,pixels
plant12,ellipse_minor_axis,39.54179763793945,pixels
plant12,ellipse_angle,132.29165649414062,degrees
plant12,ellipse_eccentricity,0.9329332986189246,none
plant13,in_bounds,1,none
plant13,area,2855.0,pixels
plant13,convex_hull_area,3825.5,pixels
plant13,solidity,0.7463076721997125,none
plant13,perimeter,414.40197908878326,pixels
plant13,width,95,pixels
plant13,height,52,pixels
plant13,longest_path,664,pixels
plant13,center_of_mass,3518.260245183888,x
plant13,center_of_mass,238.35831873905428,y
plant13,convex_hull_vertices,20,none
plant13,object_in_frame,1,none
plant13,ellipse_center,3519.023681640625,x
plant13,ellipse_center,239.51585388183594,y
plant13,ellipse_major_axis,100.46527099609375,pixels
plant13,ellipse_minor_axis,46.039939880371094,pixels
plant13,ellipse_angle,79.67571258544922,degrees
plant13,ellipse_eccentricity,0.8888144689601852,none
plant14,in_bounds,1,none
plant14,area,452.0,pixels
plant14,convex_hull_area,559.0,pixels
plant14,solidity,0.8085867620751341,none
plant14,perimeter,117.49747383594513,pixels
plant14,width,26,pixels
plant14,height,31,pixels
plant14,longest_path,200,pixels
plant14,center_of_mass,164.93141592920355,x
plant14,center_of_mass,525.5530973451328,y
plant14,convex_hull_vertices,15,none
plant14,object_in_frame,1,none
plant14,ellipse_center,165.7250213623047,x
plant14,ellipse_center,525.217529296875,y
plant14,ellipse_major_axis,31.159717559814453,pixels
plant14,ellipse_minor_axis,21.93851089477539,pixels
plant14,ellipse_angle,9.324853897094727,degrees
plant14,ellipse_eccentricity,0.7101341222039258,none
plant15,in_bounds,1,none
plant15,area,1731.0,pixels
plant15,convex_hull_area,1899.0,pixels
plant15,solidity,0.9115323854660348,none
plant15,perimeter,198.61017167568207,pixels
plant15,width,36,pixels
plant15,height,61,pixels
plant15,longest_path,407,pixels
plant15,center_of_mass,418.97458116695555,x
plant15,center_of_mass,522.7227036395147,y
plant15,convex_hull_vertices,19,none
plant15,object_in_frame,1,none
plant15,ellipse_center,419.11724853515625,x
plant15,ellipse_center,522.8594970703125,y
plant15,ellipse_major_axis,66.91519165039062,pixels
plant15,ellipse_minor_axis,34.731170654296875,pixels
plant15,ellipse_angle,176.82655334472656,degrees
plant15,ellipse_eccentricity,0.8547544012235685,none
plant16,in_bounds,1,none
plant16,area,1932.0,pixels
plant16,convex_hull_area,2385.5,pixels
plant16,solidity,0.8098931041710333,none
plant16,perimeter,329.739182472229,pixels
plant16,width,77,pixels
plant16,height,48,pixels
plant16,longest_path,539,pixels
plant16,center_of_mass,680.6537267080745,x
plant16,center_of_mass,532.3597308488613,y
plant16,convex_hull_vertices,20,none
plant16,object_in_frame,1,none
plant16,ellipse_center,680.0739135742188,x
plant16,ellipse_center,531.6235961914062,y
plant16,ellipse_major_axis,86.12821960449219,pixels
plant16,ellipse_minor_axis,34.074745178222656,pixels
plant16,ellipse_angle,107.24337768554688,degrees
plant16,ellipse_eccentricity,0.9184107983631115,none
plant17,in_bounds,1,none
plant17,area,2327.0,pixels
plant17,convex_hull_area,3216.0,pixels
plant17,solidity,0.7235696517412935,none
plant17,perimeter,384.9218245744705,pixels
plant17,width,52,pixels
plant17,height,87,pixels
plant17,longest_path,623,pixels
plant17,center_of_mass,942.9290932531156,x
plant17,center_of_mass,535.0283626987538,y
plant17,convex_hull_vertices,23,none
plant17,object_in_frame,1,none
plant17,ellipse_center,941.8372192382812,x
plant17,ellipse_center,534.3729858398438,y
plant17,ellipse_major_axis,95.16503143310547,pixels
plant17,ellipse_minor_axis,40.43751907348633,pixels
plant17,ellipse_angle,15.526982307434082,degrees
plant17,ellipse_eccentricity,0.9052309362382843,none
plant18,in_bounds,1,none
plant18,area,1962.0,pixels
plant18,convex_hull_area,2361.0,pixels
plant18,solidity,0.8310038119440915,none
plant18,perimeter,266.9360725879669,pixels
plant18,width,58,pixels
plant18,height,78,pixels
plant18,longest_path,563,pixels
plant18,center_of_mass,1188.0677879714576,x
plant18,center_of_mass,509.8216106014271,y
plant18,convex_hull_vertices,19,none
plant18,object_in_frame,1,none
plant18,ellipse_center,1187.1427001953125,x
