,plant_id,plant_in_bounds,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_center_of_mass,plant_convex_hull_vertices,plant_object_in_frame,plant_ellipse_center,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants,germinated_plants,germination_rate
0,plant0,True,1338.0,1468.0,0.9114441416893733,167.78174459934235,53,43,356,"(125.98430493273543, 127.57399103139014)",17,True,"(125.70277404785156, 127.30545806884766)",54.2537841796875,32.65251541137695,112.90943908691406,0.7986108826369436,55,55,100.0
1,plant1,True,1254.0,1316.5,0.9525256361564755,153.39696860313416,49,36,348,"(292.70095693779905, 134.7360446570973)",19,True,"(293.1034851074219, 134.57069396972656)",48.781700134277344,33.44601058959961,78.59745788574219,0.72795380683048,55,55,100.0
2,plant2,True,965.0,1025.0,0.9414634146341463,133.9827550649643,45,34,321,"(452.559585492228, 138.9419689119171)",17,True,"(452.5572204589844, 138.9833526611328)",43.123538970947266,28.912988662719727,106.06175231933594,0.7419376993778746,55,55,100.0
3,plant3,True,985.0,1034.0,0.9526112185686654,137.15432798862457,43,32,331,"(609.8710659898477, 141.1187817258883)",17,True,"(609.857666015625, 141.2035675048828)",44.029754638671875,28.404048919677734,116.03060913085938,0.7640894453168982,55,55,100.0
4,plant4,True,1126.0,1136.5,0.99076110866696,135.15432798862457,41,36,281,"(767.7984014209592, 145.0683836589698)",20,True,"(767.9517822265625, 145.01025390625)",40.664939880371094,35.39693069458008,107.1858139038086,0.4922510238073542,55,55,100.0
5,plant5,True,856.0,854.5,1.0017554125219426,116.56854152679443,38,32,260,"(924.0163551401869, 146.30607476635515)",19,True,"(924.0595703125, 146.4713897705078)",37.60212707519531,28.974334716796875,100.05426025390625,0.6373790505545169,55,55,100.0
6,plant6,True,1177.0,1223.5,0.9619942787086228,142.56854152679443,45,39,298,"(1078.5250637213253, 148.5199660152931)",18,True,"(1078.65380859375, 148.56045532226562)",46.23424530029297,34.366546630859375,109.9987564086914,0.6689430360760652,55,55,100.0
7,plant7,True,997.0,1038.5,0.9600385170919595,133.7401144504547,45,33,319,"(1240.6188565697091, 146.18054162487462)",17,True,"(1240.7352294921875, 146.23721313476562)",45.75259780883789,28.72517204284668,68.15159606933594,0.7783448774788205,55,55,100.0
8,plant8,True,1108.0,1124.0,0.9857651245551602,132.32590091228485,45,34,311,"(1397.1471119133573, 148.29873646209387)",19,True,"(1397.031982421875, 148.3090362548828)",43.7704963684082,31.84465789794922,98.54559326171875,0.6860683914773253,55,55,100.0
9,plant9,True,1076.0,1147.5,0.9376906318082788,141.0538227558136,45,36,308,"(1560.9618959107806, 146.42657992565057)",20,True,"(1561.1888427734375, 146.35044860839844)",42.66637420654297,32.60213851928711,92.13337707519531,0.6450766599594813,55,55,100.0
10,plant10,True,1155.0,1423.5,0.8113804004214963,193.92387998104095,63,34,452,"(1733.0597402597402, 145.95497835497835)",17,True,"(1732.16455078125, 145.94602966308594)",67.22542572021484,27.493722915649414,72.51351165771484,0.912544224675975,55,55,100.0
11,plant11,True,1390.0,1741.0,0.7983917288914417,195.92387998104095,58,46,386,"(130.81870503597122, 290.76978417266184)",19,True,"(128.8439178466797, 289.3335876464844)",53.84524917602539,40.31706237792969,92.73545837402344,0.6628434365741008,55,55,100.0
12,plant12,True,1108.0,1190.0,0.9310924369747899,151.78174459934235,50,39,353,"(296.06317689530687, 292.5379061371841)",18,True,"(296.1841735839844, 292.7732849121094)",51.661659240722656,28.52870750427246,114.18820190429688,0.8336970700876432,55,55,100.0
13,plant13,True,1473.0,1648.0,0.8938106796116505,179.92387998104095,51,50,362,"(454.2797012898846, 295.72165648336727)",19,True,"(454.68646240234375, 295.60760498046875)",48.15510559082031,42.72785568237305,58.718997955322266,0.4611994760054373,55,55,100.0
14,plant14,True,878.0,882.5,0.9949008498583569,118.32590091228485,36,36,293,"(616.1548974943053, 296.1503416856492)",15,True,"(616.281005859375, 296.18084716796875)",40.377044677734375,27.55191421508789,135.09945678710938,0.7310108898019736,55,55,100.0
15,plant15,True,747.0,745.5,1.0020120724346075,108.32590091228485,30,36,242,"(769.5327978580991, 301.57161981258366)",16,True,"(769.5194702148438, 301.58538818359375)",34.364830017089844,26.9134578704834,177.1208038330078,0.6218093359121956,55,55,100.0
16,plant16,True,925.0,917.5,1.008174386920981,121.74011445045471,30,39,283,"(922.2183783783784, 303.4205405405405)",19,True,"(922.1717529296875, 303.25701904296875)",38.81612014770508,29.81706428527832,176.14398193359375,0.6402556582921541,55,55,100.0
17,plant17,True,860.0,895.0,0.9608938547486033,117.9827550649643,38,35,242,"(1076.2709302325582, 304.29651162790697)",17,True,"(1076.6815185546875, 304.14715576171875)",35.30626678466797,31.723352432250977,71.99566650390625,0.43893457424310084,55,55,100.0
18,plant18,True,937.0,1019.0,0.9195289499509323,151.88224983215332,40,35,268,"(1232.1088580576306, 306.90074706510137)",15,True,"(1233.05908203125, 306.8486022949219)",41.01956558227539,30.148605346679688,66.779541015625,0.6780875944468294,55,55,100.0
19,plant19,True,1365.0,1521.0,0.8974358974358975,167.92387998104095,46,45,358,"(1395.0498168498168, 305.62051282051283)",20,True,"(1396.0107421875, 305.2461853027344)",46.71073532104492,41.53881072998047,47.72627258300781,0.4573678445293745,55,55,100.0
20,plant20,True,1010.0,1070.0,0.9439252336448598,134.911687374115,42,36,320,"(1550.4722772277228, 307.9524752475248)",23,True,"(1550.98974609375, 307.9578857421875)",43.554832458496094,31.241413116455078,52.46614456176758,0.6967755245105476,55,55,100.0
21,plant21,True,1236.0,1340.5,0.9220440134278255,156.46803629398346,52,37,367,"(1719.5550161812298, 309.121359223301)",19,True,"(1719.564697265625, 308.6192932128906)",51.37752151489258,31.988452911376953,81.13843536376953,0.7825277352564766,55,55,100.0
22,plant22,True,1104.0,1237.0,0.8924818108326596,160.46803629398346,50,33,339,"(135.89492753623188, 446.8106884057971)",19,True,"(136.14993286132812, 446.74066162109375)",48.57297897338867,30.189420700073242,104.2890625,0.7833926963370617,55,55,100.0
23,plant23,True,1186.0,1310.0,0.9053435114503817,151.88224983215332,45,42,307,"(301.20910623946037, 448.5092748735245)",18,True,"(300.9056701660156, 448.2762756347656)",41.353336334228516,37.89189910888672,53.736671447753906,0.4005016008590827,55,55,100.0
24,plant24,True,1010.0,1059.5,0.9532798489853704,134.22539567947388,35,39,281,"(458.85643564356434, 455.0930693069307)",19,True,"(458.251708984375, 455.1440124511719)",38.71809005737305,35.823707580566406,174.6449432373047,0.37937085680452276,55,55,100.0
25,plant25,True,674.0,678.0,0.9941002949852508,106.08326029777527,32,28,231,"(620.9139465875371, 457.7106824925816)",19,True,"(620.9198608398438, 457.7030334472656)",32.39763259887695,25.314332962036133,91.42040252685547,0.6240759746901804,55,55,100.0
