sample,trait,value,label
plant0,in_bounds,1,none
plant0,area,1492.0,pixels
plant0,convex_hull_area,1701.0,pixels
plant0,solidity,0.8771310993533216,none
plant0,perimeter,178.1248904466629,pixels
plant0,width,54,pixels
plant0,height,44,pixels
plant0,longest_path,378,pixels
plant0,center_of_mass,132.96447721179624,x
plant0,center_of_mass,125.39544235924933,y
plant0,convex_hull_vertices,20,none
plant0,object_in_frame,1,none
plant0,ellipse_center,132.18101501464844,x
plant0,ellipse_center,124.93412017822266,y
plant0,ellipse_major_axis,50.76974868774414,pixels
plant0,ellipse_minor_axis,42.8599853515625,pixels
plant0,ellipse_angle,86.40555572509766,degrees
plant0,ellipse_eccentricity,0.5360232479268691,none
plant1,in_bounds,1,none
plant1,area,915.0,pixels
plant1,convex_hull_area,920.0,pixels
plant1,solidity,0.9945652173913043,none
plant1,perimeter,117.9827550649643,pixels
plant1,width,36,pixels
plant1,height,36,pixels
plant1,longest_path,247,pixels
plant1,center_of_mass,300.12896174863386,x
plant1,center_of_mass,128.43169398907105,y
plant1,convex_hull_vertices,16,none
plant1,object_in_frame,1,none
plant1,ellipse_center,300.1025695800781,x
plant1,ellipse_center,128.42376708984375,y
plant1,ellipse_major_axis,35.88611602783203,pixels
plant1,ellipse_minor_axis,31.72591781616211,pixels
plant1,ellipse_angle,43.83720397949219,degrees
plant1,ellipse_eccentricity,0.4673503309990379,none
plant2,in_bounds,1,none
plant2,area,1027.0,pixels
plant2,convex_hull_area,1098.0,pixels
plant2,solidity,0.9353369763205829,none
plant2,perimeter,143.29646337032318,pixels
plant2,width,45,pixels
plant2,height,36,pixels
plant2,longest_path,312,pixels
plant2,center_of_mass,453.205452775073,x
plant2,center_of_mass,132.0253164556962,y
plant2,convex_hull_vertices,20,none
plant2,object_in_frame,1,none
plant2,ellipse_center,452.9136962890625,x
plant2,ellipse_center,131.84658813476562,y
plant2,ellipse_major_axis,44.577880859375,pixels
plant2,ellipse_minor_axis,29.712610244750977,pixels
plant2,ellipse_angle,110.5735092163086,degrees
plant2,ellipse_eccentricity,0.7454758954447532,none
plant3,in_bounds,1,none
plant3,area,1098.0,pixels
plant3,convex_hull_area,1205.5,pixels
plant3,solidity,0.9108253836582331,none
plant3,perimeter,139.9827550649643,pixels
plant3,width,39,pixels
plant3,height,45,pixels
plant3,longest_path,301,pixels
plant3,center_of_mass,611.7067395264116,x
plant3,center_of_mass,136.69945355191257,y
plant3,convex_hull_vertices,19,none
plant3,object_in_frame,1,none
plant3,ellipse_center,611.1890258789062,x
plant3,ellipse_center,136.4539337158203,y
plant3,ellipse_major_axis,43.919742584228516,pixels
plant3,ellipse_minor_axis,35.072811126708984,pixels
plant3,ellipse_angle,12.495755195617676,degrees
plant3,ellipse_eccentricity,0.6019073163349413,none
plant4,in_bounds,1,none
plant4,area,1000.0,pixels
plant4,convex_hull_area,1015.0,pixels
plant4,solidity,0.9852216748768473,none
plant4,perimeter,129.9827550649643,pixels
plant4,width,42,pixels
plant4,height,32,pixels
plant4,longest_path,335,pixels
plant4,center_of_mass,769.253,x
plant4,center_of_mass,140.28,y
plant4,convex_hull_vertices,19,none
plant4,object_in_frame,1,none
plant4,ellipse_center,769.3309326171875,x
plant4,ellipse_center,140.33624267578125,y
plant4,ellipse_major_axis,43.279544830322266,pixels
plant4,ellipse_minor_axis,28.65009880065918,pixels
plant4,ellipse_angle,111.2347640991211,degrees
plant4,ellipse_eccentricity,0.7495234245118366,none
plant5,in_bounds,1,none
plant5,area,886.0,pixels
plant5,convex_hull_area,885.5,pixels
plant5,solidity,1.0005646527385659,none
plant5,perimeter,117.15432798862457,pixels
plant5,width,31,pixels
plant5,height,40,pixels
plant5,longest_path,290,pixels
plant5,center_of_mass,917.0022573363431,x
plant5,center_of_mass,143.5902934537246,y
plant5,convex_hull_vertices,18,none
plant5,object_in_frame,1,none
plant5,ellipse_center,916.9462890625,x
plant5,ellipse_center,143.52911376953125,y
plant5,ellipse_major_axis,37.65702819824219,pixels
plant5,ellipse_minor_axis,29.497657775878906,pixels
plant5,ellipse_angle,22.89013671875,degrees
plant5,ellipse_eccentricity,0.6216135070284988,none
plant6,in_bounds,1,none
plant6,area,1026.0,pixels
plant6,convex_hull_area,1048.0,pixels
plant6,solidity,0.9790076335877863,none
plant6,perimeter,134.22539567947388,pixels
plant6,width,41,pixels
plant6,height,39,pixels
plant6,longest_path,308,pixels
plant6,center_of_mass,1070.2495126705653,x
plant6,center_of_mass,141.48050682261209,y
plant6,convex_hull_vertices,20,none
plant6,object_in_frame,1,none
plant6,ellipse_center,1070.4029541015625,x
plant6,ellipse_center,141.43247985839844,y
plant6,ellipse_major_axis,43.62492752075195,pixels
plant6,ellipse_minor_axis,29.663419723510742,pixels
plant6,ellipse_angle,50.63644790649414,degrees
plant6,ellipse_eccentricity,0.7332446570897354,none
plant7,in_bounds,1,none
plant7,area,1111.0,pixels
plant7,convex_hull_area,1175.5,pixels
plant7,solidity,0.9451297320289238,none
plant7,perimeter,139.39696860313416,pixels
plant7,width,39,pixels
plant7,height,41,pixels
plant7,longest_path,299,pixels
plant7,center_of_mass,1226.6462646264627,x
plant7,center_of_mass,142.20882088208822,y
plant7,convex_hull_vertices,22,none
plant7,object_in_frame,1,none
plant7,ellipse_center,1227.2205810546875,x
plant7,ellipse_center,141.8749237060547,y
plant7,ellipse_major_axis,40.57562255859375,pixels
plant7,ellipse_minor_axis,38.00533676147461,pixels
plant7,ellipse_angle,161.8184051513672,degrees
plant7,ellipse_eccentricity,0.3502548674998336,none
plant8,in_bounds,1,none
plant8,area,1255.0,pixels
plant8,convex_hull_area,1396.5,pixels
plant8,solidity,0.8986752595775153,none
plant8,perimeter,157.53910398483276,pixels
plant8,width,44,pixels
plant8,height,42,pixels
plant8,longest_path,333,pixels
plant8,center_of_mass,1382.2828685258964,x
plant8,center_of_mass,138.72350597609562,y
plant8,convex_hull_vertices,19,none
plant8,object_in_frame,1,none
plant8,ellipse_center,1383.1353759765625,x
plant8,ellipse_center,138.5335235595703,y
plant8,ellipse_major_axis,46.97066116333008,pixels
plant8,ellipse_minor_axis,37.539405822753906,pixels
plant8,ellipse_angle,47.01704406738281,degrees
plant8,ellipse_eccentricity,0.6010523522135642,none
plant9,in_bounds,1,none
plant9,area,1597.0,pixels
plant9,convex_hull_area,1730.5,pixels
plant9,solidity,0.9228546662814215,none
plant9,perimeter,182.95331752300262,pixels
plant9,width,51,pixels
plant9,height,47,pixels
plant9,longest_path,383,pixels
plant9,center_of_mass,1545.4308077645585,x
plant9,center_of_mass,140.32185347526612,y
plant9,convex_hull_vertices,21,none
plant9,object_in_frame,1,none
plant9,ellipse_center,1545.9462890625,x
plant9,ellipse_center,140.2904510498047,y
plant9,ellipse_major_axis,52.43146896362305,pixels
plant9,ellipse_minor_axis,43.495361328125,pixels
plant9,ellipse_angle,58.16897201538086,degrees
plant9,ellipse_eccentricity,0.5584087531831002,none
plant10,in_bounds,1,none
plant10,area,1583.0,pixels
plant10,convex_hull_area,1844.0,pixels
plant10,solidity,0.8584598698481561,none
plant10,perimeter,206.99494767189026,pixels
plant10,width,56,pixels
plant10,height,50,pixels
plant10,longest_path,372,pixels
plant10,center_of_mass,1707.6986734049274,x
plant10,center_of_mass,138.10296904611496,y
plant10,convex_hull_vertices,19,none
plant10,object_in_frame,1,none
plant10,ellipse_center,1708.0770263671875,x
plant10,ellipse_center,137.57025146484375,y
plant10,ellipse_major_axis,57.91842269897461,pixels
plant10,ellipse_minor_axis,36.63223648071289,pixels
plant10,ellipse_angle,59.630775451660156,degrees
plant10,ellipse_eccentricity,0.7745767964353699,none
plant11,in_bounds,1,none
plant11,area,1148.0,pixels
plant11,convex_hull_area,1183.5,pixels
plant11,solidity,0.9700042247570765,none
plant11,perimeter,142.46803629398346,pixels
plant11,width,50,pixels
plant11,height,35,pixels
plant11,longest_path,349,pixels
plant11,center_of_mass,137.71602787456445,x
plant11,center_of_mass,283.0740418118467,y
plant11,convex_hull_vertices,20,none
plant11,object_in_frame,1,none
plant11,ellipse_center,137.5986328125,x
plant11,ellipse_center,282.91387939453125,y
plant11,ellipse_major_axis,46.680213928222656,pixels
plant11,ellipse_minor_axis,31.493022918701172,pixels
plant11,ellipse_angle,87.5099868774414,degrees
plant11,ellipse_eccentricity,0.7381335359180718,none
plant12,in_bounds,1,none
plant12,area,1120.0,pixels
plant12,convex_hull_area,1156.0,pixels
plant12,solidity,0.9688581314878892,none
plant12,perimeter,137.88224983215332,pixels
plant12,width,50,pixels
plant12,height,35,pixels
plant12,longest_path,344,pixels
plant12,center_of_mass,301.2080357142857,x
plant12,center_of_mass,282.65982142857143,y
plant12,convex_hull_vertices,20,none
plant12,object_in_frame,1,none
plant12,ellipse_center,301.1025390625,x
plant12,ellipse_center,282.652587890625,y
plant12,ellipse_major_axis,46.65370559692383,pixels
plant12,ellipse_minor_axis,30.700788497924805,pixels
plant12,ellipse_angle,97.462158203125,degrees
plant12,ellipse_eccentricity,0.7529682861469756,none
plant13,in_bounds,1,none
plant13,area,1017.0,pixels
plant13,convex_hull_area,1023.0,pixels
plant13,solidity,0.9941348973607038,none
plant13,perimeter,126.08326029777527,pixels
plant13,width,41,pixels
plant13,height,33,pixels
plant13,longest_path,302,pixels
plant13,center_of_mass,457.59488692232054,x
plant13,center_of_mass,287.30678466076694,y
plant13,convex_hull_vertices,19,none
plant13,object_in_frame,1,none
plant13,ellipse_center,457.2446594238281,x
plant13,ellipse_center,287.1014404296875,y
plant13,ellipse_major_axis,40.33466720581055,pixels
plant13,ellipse_minor_axis,32.53398132324219,pixels
plant13,ellipse_angle,74.42305755615234,degrees
plant13,ellipse_eccentricity,0.5910963457652548,none
plant14,in_bounds,1,none
plant14,area,1046.0,pixels
plant14,convex_hull_area,1040.5,pixels
plant14,solidity,1.0052859202306583,none
plant14,perimeter,127.9827550649643,pixels
plant14,width,39,pixels
plant14,height,39,pixels
plant14,longest_path,313,pixels
plant14,center_of_mass,614.6166347992352,x
plant14,center_of_mass,287.8221797323136,y
plant14,convex_hull_vertices,20,none
plant14,object_in_frame,1,none
plant14,ellipse_center,614.6000366210938,x
plant14,ellipse_center,287.8418884277344,y
plant14,ellipse_major_axis,42.6613883972168,pixels
plant14,ellipse_minor_axis,30.801206588745117,pixels
plant14,ellipse_angle,137.9732666015625,degrees
plant14,ellipse_eccentricity,0.6919007806587305,none
plant15,in_bounds,1,none
plant15,area,751.0,pixels
plant15,convex_hull_area,756.0,pixels
plant15,solidity,0.9933862433862434,none
plant15,perimeter,108.81118214130402,pixels
plant15,width,31,pixels
plant15,height,37,pixels
plant15,longest_path,260,pixels
plant15,center_of_mass,768.3155792276964,x
plant15,center_of_mass,292.79627163781623,y
plant15,convex_hull_vertices,16,none
plant15,object_in_frame,1,none
plant15,ellipse_center,768.4603881835938,x
plant15,ellipse_center,292.58966064453125,y
plant15,ellipse_major_axis,35.4576416015625,pixels
plant15,ellipse_minor_axis,26.736574172973633,pixels
plant15,ellipse_angle,24.547069549560547,degrees
plant15,ellipse_eccentricity,0.6568254533396902,none
plant16,in_bounds,1,none
plant16,area,791.0,pixels
plant16,convex_hull_area,833.0,pixels
plant16,solidity,0.9495798319327731,none
plant16,perimeter,121.74011445045471,pixels
plant16,width,33,pixels
plant16,height,39,pixels
plant16,longest_path,284,pixels
plant16,center_of_mass,915.3135271807838,x
plant16,center_of_mass,289.4070796460177,y
plant16,convex_hull_vertices,16,none
plant16,object_in_frame,1,none
plant16,ellipse_center,915.41552734375,x
plant16,ellipse_center,289.5809631347656,y
plant16,ellipse_major_axis,40.58552932739258,pixels
plant16,ellipse_minor_axis,25.988445281982422,pixels
plant16,ellipse_angle,150.1707305908203,degrees
plant16,ellipse_eccentricity,0.7680934873901465,none
plant17,in_bounds,1,none
plant17,area,772.0,pixels
plant17,convex_hull_area,784.5,pixels
plant17,solidity,0.9840662842574889,none
plant17,perimeter,111.25483322143555,pixels
plant17,width,36,pixels
plant17,height,31,pixels
plant17,longest_path,259,pixels
plant17,center_of_mass,1069.1321243523316,x
plant17,center_of_mass,294.38212435233163,y
plant17,convex_hull_vertices,17,none
plant17,object_in_frame,1,none
plant17,ellipse_center,1069.2158203125,x
plant17,ellipse_center,294.3815002441406,y
plant17,ellipse_major_axis,35.195865631103516,pixels
plant17,ellipse_minor_axis,27.061527252197266,pixels
plant17,ellipse_angle,81.2175064086914,degrees
plant17,ellipse_eccentricity,0.6393886626655217,none
plant18,in_bounds,1,none
plant18,area,987.0,pixels
plant18,convex_hull_area,1057.5,pixels
plant18,solidity,0.9333333333333333,none
plant18,perimeter,135.15432798862457,pixels
plant18,width,48,pixels
plant18,height,33,pixels
plant18,longest_path,340,pixels
plant18,center_of_mass,1223.8308004052685,x
plant18,center_of_mass,294.45288753799394,y
plant18,convex_hull_vertices,16,none
plant18,object_in_frame,1,none
plant18,ellipse_center,1223.8509521484375,x
plant18,ellipse_center,294.451904296875,y
plant18,ellipse_major_axis,44.83736801147461,pixels
